T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
415.80399646186925,5.653788939145222e6,600618.947629992,20.111200319335126,-0.075,637259.8033310481,424.32693991067777,419.4969943488565,-0.004941221659758835,616472.7394491186,491377.7785167029
416.13095185300193,5.656795775711759e6,602020.2059967617,2.980728890367339,0.075,636745.989178322,424.2079480233538,419.37765727209506,0.004941221659758835,615958.9252963925,489822.2214832971
416.4578397148645,5.659403855163792e6,603421.5689679789,0.9010929589318355,0.225,636300.448371074,424.10475981510405,419.2741701596222,0.00787260637722054,615513.3844891445,488476.4575174246
416.7846704126594,5.6620434831800675e6,604822.9396287904,0.46853916937967277,0.375,635849.6436867606,424.0003454618102,419.169453765601,0.009390065547106299,615062.5798048311,487117.7179027056
417.11143570257974,5.664629652771411e6,606224.311588175,0.395206307240457,0.525,635408.0912073455,423.8980672463402,419.0668800933032,0.01066644284845907,614621.027325416,485789.71197040874
417.4381430503938,5.667270389152964e6,607625.6827144331,0.44120977909160075,0.675,634957.3470601789,423.7936529653455,418.9621645977232,0.01208754282690479,614170.2831782494,484436.96356148727
417.76478415434,5.669863615444821e6,609027.051749912,0.5570726346986792,0.825,634514.8349801648,423.6911387899581,418.8593550946359,0.013876048246106595,613727.7710982353,483111.76907955133
418.091366214536,5.672513419364642e6,610428.417012689,0.765634488019673,0.975,634062.7937771063,423.58641006793823,418.754325079677,0.01632368599827086,613275.7298951768,481760.9474077539
418.4178804838515,5.675116542187184e6,611829.7754436439,1.1413901782785718,1.125,633618.839346092,423.4835480177468,418.6511675142724,0.019950253935160315,612831.7754641625,480437.1494858232
418.74433288982135,5.677777813897101e6,613231.119945645,1.9008598780781787,1.275,633165.0939294711,423.3784104201679,418.54572828103466,0.025931340914655123,612378.0300475416,479087.07920407096
419.07071220114784,5.680397719721494e6,614632.4353170546,3.4645693412022522,1.425,632718.5257866643,423.2749289477892,418.4419503357384,0.03664827732996516,611931.4619047348,477761.2449082915
419.3970233406705,5.683096436880354e6,616033.7055741126,5.813541361058725,1.575,632258.6530042065,423.1683572730943,418.3350737609946,0.05411476332190703,611471.589122277,476398.8924514375
419.7232597945645,5.685772432357863e6,617434.9362224669,7.7464324142862235,1.725,631802.7811081961,423.06270559811617,418.2291202446831,0.07643441897600226,611015.7172262666,475051.37507202505
420.04942934208503,5.688483978661644e6,618836.1434190392,8.741368356766339,1.875,631340.9837987442,422.9556733933007,418.1217826872192,0.100397644749927,610553.9199168147,473689.3660350937
420.375525294958,5.691109111222696e6,620237.3378808134,9.144247695400658,2.025,630894.0287833376,422.8520742726269,418.0178884227054,0.12417937948889654,610106.9649014081,472374.02590892516
420.70155486747734,5.693734713814451e6,621638.5243401891,9.294101735427354,2.175,630447.1169619522,422.74847832636414,417.91399774910434,0.14710575793854141,609660.0530800227,471061.6547048963
421.0275110665,5.696261919903283e6,623039.7045797919,9.351004779441203,2.325,630017.0697657038,422.64878522048184,417.81402140377605,0.16900158651516614,609230.0058837743,469801.48610566504
421.3534008948229,5.698788690359878e6,624440.8791958212,9.377039038576681,2.475,629587.2105759758,422.5491293867101,417.71408281301643,0.18986671502150151,608800.1466940463,468544.49062040745
421.6792172828061,5.701219543366378e6,625842.0483472815,9.394234614869408,2.625,629173.7763976227,422.45327547767914,417.61795728929934,0.20975376699903137,608386.7125156932,467337.9951366463
422.0049671433121,5.70365403239747e6,627243.2120303258,9.410371572841312,2.775,628759.8292004762,422.35729679204894,417.521706983907,0.2287277632713115,607972.7653185467,466132.4256427683
422.2649654999145,5.70599645101221e6,628645.2258374839,9.424775320339451,2.925,628361.6366060693,422.2649654999145,417.4291147230078,0.24684684049276107,607574.5727241398,464975.0244142584
