T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
393.78194423500264,1.8906820778596306e6,506529.2543014677,4.008214879847087,-0.075,535006.8336967959,400.48205737260736,397.313139335516,-0.002111890570585782,521527.93786495883,249398.47337365188
393.9974996591469,1.8921579694550168e6,507443.22722826723,0.10052075658706561,0.075,534218.9975719898,400.2971801879348,397.12801183898426,0.002111890570585782,520740.10174015275,248001.52662634812
394.2130325824734,1.8936112984281448e6,508357.20451366314,0.007360354110263367,0.225,533443.5435797753,400.11519322915586,396.94577918079966,0.0024189518951491227,519964.64774793823,246632.63826592476
394.42854971683056,1.895092206424508e6,509271.1818429876,0.005138450800482586,0.375,532653.718913736,399.92981801227637,396.7601544022736,0.0026332075309138748,519174.823081899,245244.58632740373
394.6440445482649,1.896559105727372e6,510185.1591567554,0.005922658191657826,0.525,531871.708189835,399.74626120759586,396.57635119123154,0.0028800478487030767,518392.81235799793,243876.41637310863
394.8595234399702,1.8980539268773366e6,511099.1364458603,0.007165811358477603,0.675,531075.1624956405,399.5592768270603,396.38911652569874,0.0031785365575141083,517596.2666638034,242489.08750060844
395.0749798788364,1.8995345200615225e6,512013.1137039015,0.008730201073219312,0.825,530286.5465846504,399.37413818368583,396.20373078533675,0.003541948141728444,516807.6507528134,241121.7843728321
395.2904202044483,1.901043161893794e6,512927.09091620584,0.011031889466324163,0.975,529483.3468943542,399.1855597468825,396.0149013933948,0.004000794030695351,516004.4510625172,239735.5315937736
395.5058379001807,1.9025371954662234e6,513841.0680656912,0.014188469417532934,1.125,528688.2782391532,398.99887444191637,395.82796838000127,0.004590310661813146,515209.3824073162,238369.5890824314
395.7212392638475,1.9040591533838538e6,514755.04511460266,0.019233964819641125,1.275,527878.7106554994,398.8087685156806,395.63761094921904,0.00538835148036331,514399.81482366234,236985.13308396543
395.9366177416141,1.9055656785862825e6,515669.02200341,0.027238119207590117,1.425,527077.7108508106,398.6206584518751,395.44925275784396,0.006516311666018396,513598.8150189736,235621.6600285304
396.1519795062538,1.9070991281489544e6,516582.9985849691,0.042504099718562616,1.575,526262.7617851584,398.4292561402062,395.2575987268008,0.008271360439745513,512783.8659533214,234240.88397265394
396.36731773005215,1.908614252515736e6,517496.9744720037,0.0760808671664126,1.725,525457.9138832128,398.24021009252255,395.0683048008481,0.011397431029315194,511979.0180513758,232883.578451029
396.5826369851021,1.910147403831311e6,518410.9467060128,0.20110819107280586,1.875,524643.8559948415,398.04898449766483,394.8768292192813,0.019566766334574638,511164.9601630045,231517.14511605722
396.79791578785574,1.9115872668116062e6,519324.89269383793,1.400232594739241,2.025,523879.6663736849,397.8694583209534,394.69706903527424,0.07292871417263211,510400.77054184786,230240.25970367115
397.01316878356334,1.913008153599856e6,520238.82859960134,1.7601371703802078,2.175,523125.86579673976,397.69235872900566,394.5197392479896,0.1322919387095918,509646.96996490273,228986.25809947733
397.2283818366423,1.9142997943995567e6,521152.7612841503,1.7923428887232327,2.325,522440.90555598674,397.5314205725438,394.3585924611844,0.18542021707725304,508962.0097241497,227851.52123773796
397.3723704982777,1.9155766739552196e6,522066.6912768222,1.7991295354478114,2.475,521764.02900003694,397.3723704982777,394.1993367257153,0.23259792962228978,508285.1331681999,226734.6006120405
397.2276997342148,1.9167384526367853e6,522980.61872942373,1.798792905436162,2.625,521148.388389062,397.2276997342148,394.0544793434803,0.2746137144936622,507669.492557225,225722.5350054328
397.0832113988144,1.91789908838019e6,523894.5436253724,1.7984569851737422,2.775,520533.5632404234,397.0832113988144,393.9098050523334,0.31227082462279027,507054.66740858636,224715.4218114697
396.95171351573816,1.9189556552066652e6,524809.2486715016,1.798151513691905,2.925,519974.0488440375,396.95171351573816,393.77813830274613,0.34621460525859826,506495.1530122005,223802.039583042
