T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
392.70729318578736,2.661528308999521e6,501957.61131551303,5.051040235896335,-0.075,525717.168688644,398.3011066956461,395.55596387178093,-0.003283052546513071,514050.4591296627,233320.10063914006
392.8939032224042,2.6637788625034248e6,502748.35491566546,0.1919091789266012,0.075,524860.3420198807,398.09983956249994,395.35446804070966,0.003283052546513071,513193.6324608994,231879.89936085994
393.0804839867704,2.66587719386011e6,503539.1069706466,0.02057165000248018,0.225,524061.8361882969,397.9122556125612,395.16667159186966,0.00398064590528547,512395.12662931567,230544.13490693815
393.26706521471357,2.668123868909863e6,504329.8592336652,0.013927264384494542,0.375,523207.27137125685,397.7114850074087,394.96567424444646,0.004452372158268907,511540.5618122756,229121.4183789805
393.45361770378,2.670241530242714e6,505120.6114265387,0.016152532963874755,0.525,522402.15020692674,397.52231427864194,394.77629053011657,0.004998911444350579,510735.4406479455,227787.45207293745
393.6401704941819,2.672509501364998e6,505911.36345619144,0.021334735589563003,0.675,521540.2808754176,397.3197924934891,394.57354143220783,0.0057198788250114934,509873.57131643634,226366.35676566965
393.8266943953574,2.6746466178140393e6,506702.11528576,0.027669421517797055,0.825,520728.5154997843,397.12902757710265,394.38256306451257,0.006653362858542324,509061.8059408031,225034.3727531372
394.01321830561665,2.67693446157961e6,507492.86671880865,0.04020411885072628,0.975,519859.9024002595,396.92488572171965,394.178193503909,0.008006615887529055,508193.1928412783,223616.06619210253
394.1997129779537,2.67908829835037e6,508283.6175183394,0.06009589104001911,1.125,519042.54903248406,396.73277427136014,393.98586844039124,0.010022567617623762,507375.8394735028,222288.0032878641
394.3862067962239,2.6813899720858987e6,509074.3666669272,0.1109526825917766,1.275,518169.5024638723,396.527554831449,393.78042153198646,0.013723126777490945,506502.7929048911,220876.4325609958
394.5726681579042,2.683540735498786e6,509865.10834831244,0.30803079980879855,1.425,517354.0791000619,396.3358638080649,393.58851870575984,0.02385301187186674,505687.36954108067,219564.522341886
394.7591073872167,2.685740750372166e6,510655.8007460437,1.7354602254975022,1.575,516520.3638019891,396.1398561921637,393.3922951861834,0.07725937722334673,504853.6542430079,218229.64458849368
394.9455124685489,2.6877942716587847e6,511446.4756147188,2.1162928646418724,1.725,515742.5107345027,395.95696686710204,393.2092050161391,0.1349820737217987,504075.80117552145,216990.08064003754
395.13189611538974,2.6898010302078445e6,512237.14432831673,2.1541154796692115,1.875,514982.6944231762,395.7783044180363,393.03034693060573,0.1867744103632764,503315.98486419494,215784.71408661682
395.3182479429428,2.6916520501507004e6,513027.80790956767,2.1616197728748814,2.025,514282.12844075967,395.6135618593117,392.8654244733666,0.23287639958975304,502615.41888177843,214678.1033515814
395.4513316914462,2.6934754148278306e6,513818.4663609523,2.1676451365929603,2.175,513592.29477949045,395.4513316914462,392.70301761454454,0.2741496975573235,501925.5852205092,213592.8959215037
395.3014151221179,2.6951608887069672e6,514609.11993035796,2.167228508813716,2.325,512954.8634830778,395.3014151221179,392.5529381743074,0.3112102255715076,501288.15392409655,212594.03959838705
395.1525820791912,2.6968346621008157e6,515399.76860658935,2.166815249858248,2.475,512322.0796070273,395.1525820791912,392.4039438256077,0.344671708485786,500655.37004804605,211606.17469707062
395.0148632219118,2.6983838730255086e6,516190.4123794455,2.1664331680499975,2.625,511736.58494094,395.0148632219118,392.2660760520995,0.3750345523831846,500069.8753819588,210695.41779461122
394.87711464262685,2.6999338295146353e6,516981.05124203966,2.1660513078518346,2.775,511150.99820185534,394.87711464262685,392.128178854769,0.40271012706505727,499484.2886428741,209787.66588165046
394.7495810324844,2.7013692133099237e6,517772.49743804015,2.1656980357551574,2.925,510608.86709887354,394.7495810324844,392.00050794180754,0.4280403889724587,498942.1575398923,208950.07698697236
