T,Pe,h,Gamma,z,v,hl_sat,T_sat,T_cr,alpha,h_cr,p
393.7814264357543,1.895916926959697e6,506527.06668333494,0,-0.075,0.681780470394052,535014.9794728655,400.48396881459644,397.31505336921657,1.1499378726477255e-18,521536.08364102844,249412.94971740295
393.99801741149753,1.8972707722427954e6,507445.4148464,0,0.075,0.6817804703940519,534210.8148347544,400.29525990691087,397.12608896178506,1.1528558418967957e-18,520731.9190029174,247987.05028259705
394.2145764482258,1.89855717717447e6,508363.76300946495,0,0.225,0.6817804703940519,533447.19942352,400.11605123450107,396.946638342906,1.0422426039431761e-18,519968.303591683,246639.07765429298
394.4311291930669,1.8999249521412402e6,509282.1111725299,0,0.375,0.6817804703940519,532635.8059452757,399.92561357895835,396.75594431706156,1.7522100854829895e-18,519156.9101134387,245213.17821948708
394.64764989159886,1.9012246676486672e6,510200.4593355949,0,0.525,0.6817804703940519,531865.2859465694,399.74475368803076,396.5748416508837,-1.0383782193664102e-20,518386.3901147324,243865.20559118307
394.864164145095,1.9026066755844625e6,511118.80749865994,0,0.675,0.681780470394052,531046.5125982242,399.55255113565823,396.38238184530684,1.253554755757074e-18,517567.6167663872,242439.30615637713
395.0806462446355,1.9039199931554473e6,512037.1556617249,0,0.825,0.681780470394052,530268.942922689,399.3700052989103,396.19959239270383,1.3488344711184859e-18,516790.047090852,241091.33352807333
395.2971217455015,1.905316547567589e6,512955.5038247899,0,0.975,0.681780470394052,529442.6337256493,399.176000515826,396.00532946084166,-8.778941267948617e-19,515963.7378938123,239665.43409326707
395.51356498436195,1.9066437685718231e6,513873.85198770784,0,1.125,0.681780470394052,528657.8645022506,398.99173286101455,395.82081733745673,-2.2496168686924723e-19,515178.96867041354,238317.4614649633
395.73000125657,1.9080543235844974e6,514792.1998523369,0.011425297510308258,1.275,0.6822116526202721,527824.3722558866,398.79600796862485,395.62483354714954,0.0006329242925304672,514345.4764240495,236892.4386234695
395.94640416724013,1.909390724910767e6,515710.5464020402,0.06135732151415518,1.425,0.6845419198391614,527035.2204081285,398.610679377599,395.439260541065,0.004039651013003074,513556.32457629143,235549.50769780317
396.16279848113936,1.910804442257082e6,516628.89118680503,0.12614254257725604,1.575,0.6893706182163349,526200.9662582185,398.41474191569523,395.2430654450195,0.011025564958752418,512722.0704263815,234136.44762698133
396.37915739846414,1.9121327464245157e6,517547.2336269073,0.20847002656449826,1.725,0.6974076464611145,525417.6330024187,398.2307483298848,395.0588306512583,0.022438509081439077,511938.73717058165,232815.81386997493
396.5955049778503,1.9135254020382925e6,518465.5726070102,0.3236698735071803,1.875,0.7099797164796725,524596.8875341187,398.0379509120396,394.865781232571,0.0397730067934957,511117.9917022817,231438.50248158834
396.8118135875711,1.9148139196248779e6,519383.9063738941,0.48522601695452183,2.025,0.7289385561039776,523838.0037638149,397.85967037817284,394.68726835323645,0.06478270063780169,510359.1079319779,230170.80785523896
397.02810549488726,1.9161425383462682e6,520302.23097547115,0.7449738760496857,2.175,0.758227878496683,523055.9936232497,397.67594209923436,394.50330131237223,0.10096100760747394,509577.09779141267,228870.2979720416
397.2443501153581,1.917330738008696e6,521220.5385319668,1.191874710743777,2.325,0.8052712505148335,522357.05467838026,397.51171819484085,394.33886457901184,0.1535607402607492,508878.1588465432,227712.91966236554
397.3473678026805,1.9185204442719596e6,522138.8217301388,1.7990713369820952,2.475,0.876656688015097,521657.6282284267,397.3473678026805,394.1743017472604,0.22259446253964743,508178.73239658965,226559.42687543092
397.2028627473576,1.919566982344245e6,523057.0996051772,1.7987351417648159,2.625,0.9485550904931077,521042.6995386475,397.2028627473576,394.02961036117836,0.28162071228622737,507563.80370681046,225549.15492963808
397.0590437805805,1.9206090061725795e6,523975.37192967004,1.7984008257820454,2.775,1.021035102035151,520430.72927404766,397.0590437805805,393.8856063721326,0.33270968981354176,506951.8334422106,224547.326520399
396.9324619780373,1.9215265154727544e6,524894.443689844,1.798106811845617,2.925,1.093899938370969,519892.13759136153,396.9324619780373,393.75886207228626,0.3772457944370124,506413.2417595245,223668.57291935635
