T,Pe,h,Gamma,z,v,hl_sat,T_sat,T_cr,alpha,h_cr,p
438.13046546623144,3.6877673788394807e6,697260.1533504708,0,-0.075,1.663873658678464,741203.9450785221,448.1916361189155,441.5148797973072,-1.173217198958552e-19,712002.377415416,893478.5079297634
438.5883032587234,3.6886921680874852e6,699251.4397487405,0,0.075,1.6638736586784637,740920.4243507425,448.12715341971096,441.4500473116487,-1.1742193086014488e-19,711718.8566876363,892121.4920702366
439.0459724546785,3.6895785188537706e6,701242.7261470102,0,0.225,1.6638736586784637,740648.7659029297,448.0653652280732,441.38792420037606,-1.1765458660499782e-19,711447.1982398236,890822.7086285654
439.50348722266904,3.690505915900345e6,703234.0125452799,0,0.375,1.6638736586784637,740364.6086451004,448.0007306511369,441.32293953730755,-1.1775537510570224e-19,711163.0409819942,889465.6927690386
439.9608316901045,3.69139476959193e6,705225.2989435496,0,0.525,1.6638736586784637,740092.339334393,447.9387967057569,441.26067038485417,-1.1798937369961292e-19,710890.7716712869,888166.9093273674
440.4180199154808,3.6923247891654023e6,707216.5853418193,0,0.675,1.6638736586784637,739807.5420960597,447.8740094272536,441.1955327192444,-1.1809074480748685e-19,710605.9744329535,886809.8934678406
440.87503612556895,3.6932161599394237e6,709207.8717399167,0,0.825,1.6638736586784637,739534.6586061406,447.811928936318,441.1331167325593,-6.45255049135409e-20,710333.0909430345,885511.1100261695
441.3318937174731,3.694148192014477e6,711199.1562396981,0.10478198674813101,0.975,1.6650128544092175,739249.4091251667,447.74703163068546,441.06786897239357,0.0006876832141740196,710047.8414620606,884155.0027107471
441.78857669953805,3.695041852478942e6,713190.4366351414,0.32998522220229454,1.125,1.6686071188923122,738975.9819901012,447.68482060753615,441.0053222540781,0.0028512100468092347,709774.414326995,882856.5688991513
442.24509855359344,3.6959761468341006e6,715181.7123033379,0.5862251133423486,1.275,1.6750058953141824,738690.2046522273,447.61979604294794,440.93994707691326,0.006679861150270316,709488.6369891212,881501.0227381779
442.70144330081024,3.696869462105118e6,717172.9825182501,0.8771516738463325,1.425,1.6845988789348703,738417.0403634324,447.5576379765387,440.87745410679855,0.012365193324553707,709215.4727003262,880206.7709562351
443.1576241743209,3.697800703426206e6,719164.2462810505,1.2142624132353048,1.575,1.6979068184750172,738132.3604657719,447.49285599649824,440.81232334836756,0.020145751625728577,708930.7928026657,878859.4821041629
443.61362516293826,3.698687839814476e6,721155.5023804621,1.605119606256697,1.725,1.715530298646748,737861.2408998659,447.4311564435537,440.7502918616909,0.030263542533027887,708659.6732367597,877577.8144759551
444.0694591688732,3.6996096367661096e6,723146.7491040038,2.0691459026367487,1.875,1.7382951351366103,737579.6086604367,447.36706100567073,440.6858518579749,0.04302923272615084,708378.0409973306,876247.9419105914
444.52511004923645,3.7004836937763533e6,725137.9842681161,2.6226910561017216,2.025,1.767197048331511,737312.6374263297,447.30629892735953,440.62476337544877,0.05876239708488809,708111.0697632235,874988.7014665516
444.98059019527017,3.7013886252732263e6,727129.2046559709,3.3025388744369613,2.175,1.8036607487994605,737036.3130155768,447.24340473245525,440.5615315709478,0.07789237481242772,707834.7453524707,873686.7810162402
445.4358830804073,3.7022418255471596e6,729120.4058683568,4.147540718596959,2.325,1.8495183543280496,736775.85671196,447.1841191558498,440.5019279863223,0.10087968424931996,707574.2890488539,872460.9613007827
445.8910001059891,3.7031218637194927e6,731111.5809915867,5.239632688824599,2.475,1.9075506881824538,736507.2805225503,447.12298214461504,440.44046327051734,0.12838530349421032,707305.7128594442,871198.283915859
446.34592356215796,3.70394643524975e6,733102.7195105677,6.687907264666127,2.625,1.9817073458293826,736255.6991599062,447.06571081182125,440.38288516977383,0.16118862836139705,707054.1314968001,870016.7555406834
446.80066227021103,3.7047946613662224e6,735093.8033779066,8.727272400151042,2.775,2.0786171516934884,735996.9683570995,447.0068089995876,440.32366807389343,0.20052853250588382,706795.4006939933,868802.910840415
446.9512921110402,3.7055943089295975e6,737085.728732529,9.798222461684073,2.925,2.18760100805826,735753.1180858002,446.9512921110402,440.26785422225635,0.24060548174812113,706551.5504226941,867660.0478361929
