T,Pe,h,Gamma,z,v,hl_sat,T_sat,T_cr,alpha,h_cr,p
416.72713888104744,3.952130815529215e6,604583.2002660893,0,-0.075,1.593059971613446,639525.439993878,424.85151855998254,419.80238357792643,-6.841546648212507e-19,617789.6083131447,498282.7150303104
417.07266767227856,3.9537020372970724e6,606065.0138676616,0,0.075,1.5930599716134464,639079.3585075857,424.7482483944585,419.69879839741185,-6.855249730854249e-19,617343.5268268524,496917.2849696896
417.4181256462227,3.955259901527065e6,607546.827469234,0,0.225,1.5930599716134464,638637.2459151525,424.64589017449106,419.5961283675478,-6.876875798114634e-19,616901.4142344191,495566.8698160099
417.7635169330207,3.956839071809032e6,609028.6410708063,0,0.375,1.5930599716134464,638189.266012017,424.5421665791012,419.4920892325358,-3.1251351839834762e-18,616453.4343312837,494201.4397553892
418.1088367773126,3.9584048380486146e6,610510.4546723787,0,0.525,1.5930599716134464,637745.2664839212,424.4393576690833,419.3889679918699,-4.650851469862455e-18,616009.4348031878,492851.02460170933
418.45408929109857,3.959992039887693e6,611992.2682739511,0,0.675,1.5930599716134464,637295.3690914282,424.3351760834964,419.28447033820015,-5.402002637325864e-18,615559.5374106949,491485.5945410887
418.7992697343755,3.961565790924671e6,613474.0818755015,0,0.825,1.5930599716134464,636849.463617598,424.2319119380017,419.1808933374897,-5.976018687441435e-18,615113.6319368647,490135.179387409
419.1443820074022,3.963160720174701e6,614955.8948546251,0.02041310196685003,0.975,1.5934496877850444,636397.7393821357,424.1272932112079,419.0759580873059,0.0002452679861395574,614661.9077014023,488770.08143918845
419.4894203172847,3.964740328741382e6,616437.7033855292,0.16566830782680794,1.125,1.596621823643878,635950.5345534141,424.02371418720554,418.97206611726483,0.0022371824343916666,614214.7028726807,487421.5509259505
419.8343890112038,3.9663434858731297e6,617919.5066610102,0.33464912274592806,1.275,1.603053904947633,635496.8459790882,423.91862634138704,418.8666612054495,0.0062519092717823205,613761.0142983549,486056.42327700637
420.1792820266983,3.9679259420473007e6,619401.3036565216,0.5325429610618699,1.425,1.6133274829066007,635049.1963836092,423.8149303095637,418.76265273972984,0.012597925716446088,613313.3647028758,484712.3790034215
420.5241034587626,3.969525969651563e6,620883.0929490495,0.7691845191456812,1.575,1.6282213166668553,634596.7583857682,423.7101180152581,418.65752508479073,0.021655587704634376,612860.9267050348,483356.89307642065
420.8688469864014,3.971098399798643e6,622364.8726346794,1.0554851592821846,1.725,1.64872971655672,634152.3023965007,423.6071479490281,418.55424562788784,0.03385981169520935,612416.4707157674,482028.19012919074
421.21351626631343,3.9726807682608115e6,623846.6399288545,1.411499698542377,1.875,1.676250582269179,633705.2154855635,423.50356147578515,418.4503483386215,0.049767631554785315,611969.3838048301,480694.48695290135
421.5581044375178,3.9742269898566203e6,625328.3908158953,1.8633825064694975,2.025,1.7126950827341882,633268.514066984,423.40237458089143,418.3488582407066,0.07004660951439717,611532.6823862506,479394.53485679923
421.90261420392704,3.975773854595253e6,626810.1189179335,2.4602833241144255,2.175,1.7609617499008074,632831.8013493244,423.30117849642727,418.24735933354975,0.0956116474420549,611095.969668591,478097.28303605673
422.24703723507974,3.9772747866314524e6,628291.813865763,3.2797870564791856,2.325,1.8254735336567216,632408.2190652986,423.2030187558195,418.1489062457403,0.12766985605748635,610672.3873845652,476841.64338178857
422.5913732528834,3.978766572381028e6,629773.4565437704,4.484350374975208,2.475,1.913898730820218,631987.3765250387,423.1054878075428,418.0510842089271,0.16809986152124226,610251.5448443054,475596.6654460602
422.93560799899296,3.9802046426098933e6,631255.0097294918,6.414494958354492,2.625,2.0406259997326663,631581.8369262589,423.0114975875042,417.9568138256471,0.21993296580087868,609846.0052455255,474399.3505520201
422.91573798882865,3.981670230545577e6,632736.5246848186,6.8750788921196735,2.775,2.177048386991788,631168.6880160475,422.91573798882865,417.8607691504531,0.26898612887479395,609432.8563353141,473181.981336968
422.8290083793551,3.9829980040077e6,634218.9437513526,6.8742019622528945,2.925,2.313949340228116,630794.5202113666,422.8290083793551,417.7737816608518,0.3123963117864829,609058.6885306332,472081.56994964706
