hl_sat,T,T_sat,alpha,z,h,p
639.58104613462,121.16616154620908,424.8643911797003,0.0,-0.045,508.9712541764003,498.45312609554065
639.2851611335856,122.19404133357006,424.7958936302916,0.0,0.045,513.3345704386575,497.54687390445935
639.0365073767209,123.221466343786,424.7383277697006,0.0,0.135,517.6978867023049,496.78627309084357
638.7403430491876,124.24847710190107,424.6697599072378,0.0,0.225,522.0612029671474,495.8815209526158
638.491535384296,125.27501931413246,424.61215367144933,0.0,0.315,526.4245192330804,495.12242739143437
638.1950957478043,126.30113299507002,424.54351641940536,0.0,0.405,530.7878354999768,494.2191898532057
637.9461387745764,127.32676416000277,424.4858708709316,0.0,0.495,535.1511517677342,493.4616181743669
637.649427909376,128.351952308257,424.417165167649,0.0,0.585,539.5144680362275,492.55990982682545
637.4003262517282,129.37664377064334,424.3594813749704,0.0,0.675,543.8777843053563,491.8038745826974
637.1033482624422,130.40087752606382,424.29070816478713,0.0,0.765,548.2411005749975,490.90370994176124
636.8541065705076,131.42460022770473,424.23298720281434,0.0,0.855,552.6044168450527,490.1492256126775
636.5568655881746,132.4478503273445,424.164147436536,0.0,0.945,556.9677331154005,489.2506191249515
636.3074885403304,133.47057480734878,424.1063903870849,0.0,1.035,561.3310493859447,488.4977001246212
636.0099887244257,134.49281158813625,424.037485022459,0.0,1.125,565.694365656565,487.60066617276397
635.7604810293249,135.5145079866217,423.9796929747143,0.0,1.215,570.0576819271673,486.8493268535971
635.4627265698022,136.5357013847679,423.9107229769034,0.0,1.305,574.4209981976329,485.953879761606
635.2130929683664,137.5563394405441,423.8528970278932,0.0,1.395,578.7843144678693,485.2041344199592
634.9150880877281,138.57645899151646,423.78386336995413,0.0,1.485,583.1476307377593,484.31028845837864
634.6653333551674,139.59600804342534,423.7260046250152,0.0,1.575,587.5109470072118,483.56215133972967
634.36708231049,140.61502288156538,423.6569082883747,0.0,1.665,591.8742632761109,482.66992073079393
634.1172112583429,141.6334518661908,423.5990178616267,0.0,1.755,596.2375795443672,481.9234060348518
633.8187183433101,142.65133072273613,423.52985983655907,0.0,1.845,600.6008958118662,481.03280495756525
633.5687358214876,143.668608172495,423.4719388513794,0.0,1.935,604.9642120785195,480.287926843323
633.2700053685288,144.6853193730027,423.4027201374934,0.0,2.025,609.3275283442136,479.3989694384864
633.0199162673273,145.70141341313285,423.34476972699144,0.0,2.115,613.690844608862,478.6557420292215
632.7209526496504,146.71692487406705,423.2754913337124,0.0,2.205,618.0541608723519,477.7684424044088
632.4707619018213,147.73180321881858,423.21751264121,0.0,2.295,622.4174771345979,477.0268797926386
632.1715695354898,148.74608244329607,423.14817558827065,0.0,2.385,626.7807933954883,476.14125202713205
631.9212821146839,149.75969944279996,423.0901697669391,0.0,2.475,631.1440538932303,475.4013682687455
631.7293487768968,149.89568644643612,423.0456864464361,0.3924817869069155,2.565,635.5072669667953,474.8345929444404
631.617800136574,149.86983285865858,423.01983285865856,0.5859462069800151,2.655,639.8704427370692,474.5054335135653
631.5004991648022,149.8426455947324,422.9926455947324,0.6864785364992941,2.745,644.2335942437071,474.159491417581
631.412204316686,149.82218087213784,422.9721808721378,0.6880665945614459,2.835,644.2326879704683,473.8992230938547
631.3239097200768,149.80171594058146,422.95171594058144,0.689640305492349,2.925,644.231781495248,473.6390666113361
631.2363753634843,149.78142695379728,422.93142695379726,0.6911863693249816,3.015,644.2308748457162,473.3812597838068
631.1488361025085,149.7611365676945,422.9111365676945,0.6927187984411184,3.105,644.2299679936466,473.12354765481626
631.0620419976775,149.7410186392804,422.89101863928045,0.6942246885552303,3.195,644.2290609666653,472.868136962601
630.9752382232991,149.72089821153264,422.8708982115326,0.695717609238713,3.285,644.2281537365913,472.6128050699511
630.889164997533,149.7009468644245,422.85094686442443,0.6971850376223575,3.375,644.2272463310011,472.35972795505444
630.8030777017938,149.680992002298,422.830992002298,0.6986401184984222,3.465,644.2263387217647,472.1067149012543
630.7177067984635,149.6612029480185,422.81120294801855,0.7000706967892137,3.555,644.2254309364034,471.8559114435517
630.6323177654036,149.6414094418048,422.7914094418048,0.7014895095468532,3.645,644.2245229468457,471.60515839210376
630.5476313966936,149.62177856954503,422.771778569545,0.7028847564657404,3.735,644.2236147805496,471.35657115659455
630.4629231569103,149.60214238206004,422.75214238206,0.7042687829763107,3.825,644.2227064095084,471.1080216849966
630.3789042600398,149.58266574856304,422.732665748563,0.7056301310992555,3.915,644.2217978611134,470.8615955802301
630.2948600485337,149.56318300540323,422.71318300540327,0.7069807699067906,4.005,644.2208891074251,470.61519554364355
630.2114922451292,149.54385682557637,422.69385682557635,0.7083095718430725,4.095,644.2199801757624,470.3708776903374
630.1280959621714,149.5245238060769,422.67452380607693,0.7096281440905479,4.185,644.2190710382661,470.12657509499206
630.0453635205208,149.50534444426506,422.6553444442651,0.7109256781283851,4.275,644.2181617221723,469.88431470395955
629.9625996952543,149.48615757308926,422.63615757308924,0.7122134329764264,4.365,644.2172521996544,469.6420595894584
629.8804893488049,149.46712196468576,422.61712196468574,0.7134874238619148,4.455,644.2167983402426,469.4018132704369
