T,P,alpha,z
121.42306013076444,498.20693405178014,6.954166270471418e-19,-0.0225
121.93722288791452,497.79306594821986,6.919182963628415e-19,0.0225
122.45127931739802,497.3728143159202,6.643372289036101e-17,0.0675
122.96522645407964,496.95895006141797,7.567778166933062e-17,0.1125
123.47906551916765,496.5387022555851,8.119647130803952e-17,0.1575
123.9927935500287,496.124841805175,8.904984064356181e-17,0.2025
124.50641175248262,495.7045977812179,1.7069015067125978e-16,0.2475
125.01991716647933,495.29074109067955,1.1972964887378878e-16,0.2925
125.53331098242177,494.87050080474467,1.9276406064295305e-16,0.3375
126.04659024292988,494.45664783058754,1.5757520273297219e-16,0.3825
126.55975612295009,494.03641123954384,2.231732981051388e-16,0.4275
127.07280566786972,493.6225619389924,2.069501972960762e-16,0.4725
127.58574003713227,493.2023290004162,1.5522880773781965e-16,0.5175
128.09855627897014,492.788483331395,1.9929105404373683e-16,0.5625
128.61125553728937,492.368254003556,2.671557935719075e-16,0.6075
129.12383486324802,491.95441192467575,2.4792725091807925e-16,0.6525
129.63629538516756,491.5341861665223,2.8741797545864512e-16,0.6975
130.1486341572164,491.1203476370662,2.345653634195963e-16,0.7425
130.66085229207016,490.70012540821256,2.528597219849109e-16,0.7875
131.17294684699618,490.28629038812187,2.7189104161629807e-16,0.8325
131.68491891919183,489.8660716488343,2.685348385015082e-16,0.8775
132.19676556846696,489.4522400986967,2.162514164958598e-16,0.9225
132.7084878765544,489.03202480988045,2.1864751190648173e-16,0.9675
133.22008290706816,488.6181966909162,1.982043128770305e-16,1.0125
133.73155172532876,488.1979848141038,2.4406023543218043e-16,1.0575
134.2428913982801,487.7841600881538,1.9799212818247069e-16,1.1025
134.75410297534262,487.3639515854915,2.2759518376298334e-16,1.1475
135.26518352770802,486.95013021500506,3.141301756550411e-16,1.1925
135.77613408788073,486.5299250492424,3.0238004715857783e-16,1.2375
136.28695173010448,486.1161069972654,3.127262957699138e-16,1.2825
136.7976374718658,485.69590513174217,2.947082127489806e-16,1.3275
137.30818839055314,485.2820903619058,2.64955737312234e-16,1.3725
137.81860548752542,484.8618917605417,2.266935549198181e-16,1.4175
138.32888584377116,484.44808023705116,1.893072062777772e-16,1.4625
138.83903044443713,484.0278848643347,2.165967617971129e-16,1.5075
139.34903637417148,483.61407655195814,1.518621571685219e-16,1.5525
139.8589046018178,483.193884372935,1.9581265304991044e-16,1.5975
140.36863221575004,482.7800792369938,1.2078916528470492e-16,1.6425
140.87822016841199,482.3598902172575,1.0981835725883948e-16,1.6875
141.38766555196167,481.94608822361465,5.39392873904055e-17,1.7325
141.89696930234982,481.5259023292958,1.0084256947383669e-16,1.7775
142.40612851556028,481.1121034443466,4.993224312569449e-17,1.8225
142.91514411095665,480.69192064210284,7.017253573913905e-17,1.8675
143.4240131884169,480.27812483276495,1.1004812318924141e-16,1.9125
143.93273665059223,479.85794508977165,9.773632316413466e-17,1.9575
144.44131160131604,479.4441523234756,5.099026806093455e-17,2.0025
144.94973892640502,479.02397560741593,5.810946696842546e-17,2.0475
145.4580157337046,478.61018585209536,1.0062347201753564e-16,2.0925
145.96614289209322,478.1900121311516,8.531738591340158e-17,2.1375
146.47411751345845,477.77622535523466,9.501302973530619e-17,2.1825
146.98194044962622,477.3560545980787,1.0178232970143175e-16,2.2275
147.48960881657712,476.94227077047873,9.549322746200936e-17,2.2725
147.99712344894692,476.52210294626366,1.335909485428403e-16,2.3175
148.50448146686404,476.1083220363707,5.609085427174893e-15,2.3625
149.01168368764417,475.68815711485837,3.284789726785299e-10,2.4075
149.51872708635392,475.27438717928527,1.944662867804541e-5,2.4525
149.8996187807054,474.8846741666382,0.07322726622505757,2.4975
149.87105635083566,474.5210064932438,0.14105926681814016,2.5425
149.84451448344578,474.183265466716,0.1997325989195325,2.5875
149.81950916630825,473.8652530530007,0.2509797858102283,2.6325
149.79608306096463,473.56747980924695,0.29612166083789815,2.6775
149.7738288004757,473.2847409926293,0.3361857228479112,2.7225
149.75284976964883,473.01832776817133,0.37197953673040474,2.7675
149.7327862180211,472.7636526783721,0.4041505400008479,2.8125
149.71377505979245,472.5224374640733,0.43321950902623874,2.8575
149.69549326852706,472.2905695600663,0.4596145067353578,2.9025
149.67810289704926,472.0700921628936,0.48368598860238793,2.9475
149.66130153326878,471.8571606332737,0.5057283209488297,2.9925
149.64526863936192,471.654040061611,0.525985717033038,3.0375
149.62971630753816,471.4570746894505,0.5446673187272826,3.0825
149.61483642725176,471.2686874179677,0.5619483198301749,3.1275
149.60035159900434,471.0853596722781,0.5779814687447062,3.1725
149.5864628086914,470.9096293844923,0.5928955649975297,3.2175
149.57290046590936,470.73808023515244,0.6068048412171745,3.2625
149.5598723554167,470.5733357246123,0.6198059916485107,3.3075
149.54711482218937,470.4120575318717,0.6319862186684786,3.3525
149.53484082141506,470.25693387836293,0.6434194360569641,3.3975
149.52279130212474,470.1046871948618,0.6541734235100343,3.4425
149.51118320786128,469.9580553180678,0.6643055746740512,3.4875
149.49976112671612,469.81380891805435,0.6738694212467438,3.5325
149.48874511407132,469.6747242670773,0.6829101452105576,3.5775
149.47788268551415,469.5376110373577,0.6914706332728363,3.6225
149.4673963457244,469.40527550348185,0.6995868864534242,3.6675
149.45703600533164,469.27455941755886,0.7072937076112782,3.7125
149.4470261086704,469.1482925836872,0.7146200904897964,3.7575
149.43711855793742,469.02334357903004,0.7215946085752022,3.8025
149.4275393387362,468.9025606891134,0.7282408346555574,3.8475
149.41804203581984,468.78283528291837,0.7345824780871175,3.8925
149.4088538599304,468.66703013159315,0.7406388665938684,3.9375
149.39972983961445,468.55205627132716,0.7464298656418579,3.9825
149.39089815633326,468.44078775147057,0.7519714419362449,4.0275
149.38211509655162,468.33015283548025,0.7572803899101684,4.0725
149.37360960486194,468.22303424095253,0.7623699884593291,4.1175
149.36513907995334,468.116375539087,0.7672545537502148,4.1625
149.3569330576725,468.013065960946,0.7719451955533599,4.2075
149.34874993375803,467.91006286172313,0.7764542116079292,4.2525
149.3408196907726,467.81026017913183,0.7807909464802949,4.2975
149.33290162996894,467.71062783552475,0.784966039957862,4.3425
149.32522605953983,467.6140629662019,0.7889873890293618,4.3875
149.3175531194472,467.5175471627534,0.7928642608511057,4.4325
149.3101133592957,467.4239797145371,0.7966033567932754,4.4775
