hl_sat,T,T_sat,alpha,z,h,p
491.75191444621646,97.90066903098074,390.30938669915025,0.0,-0.045,410.3790852614704,181.4449194541826
491.10440436908885,98.26564039768544,390.156778101753,0.0,0.045,411.91615261714895,180.5550805458174
490.51275348352874,98.63056182016476,390.01732669975746,0.0,0.135,413.45321997455505,179.7450855492212
489.860639574627,98.99546157073922,389.8636154130399,0.0,0.225,414.990287333654,178.85571155340392
489.2647925294106,99.36031091309349,389.7231588495301,0.0,0.315,416.5273546944317,178.04618244606888
488.60799738587036,99.72513804873239,389.5683263348221,0.0,0.405,418.06442205686244,177.1572753540362
488.0078833937524,100.08991430855082,389.42684765497285,0.0,0.495,419.6014894209324,176.3482141406596
487.34632756211954,100.454667823014,389.2708748824499,0.0,0.585,421.13855678661616,175.45977595361558
486.74187393881607,100.81936999045155,389.1283566771055,0.0,0.675,422.67562415389995,174.6511846318623
486.0754758279772,101.18404887008933,388.9712241049773,0.0,0.765,424.21269152275863,173.76321734403982
485.4666079231715,101.54867592791464,388.8276484941151,0.0,0.855,425.74975889317864,172.9550979046639
484.7952837262356,101.91327915169097,388.66933604990413,0.0,0.945,427.28682626513495,172.0676035034454
484.181924851377,102.27783007532582,388.52468466533753,0.0,1.035,428.8238936386144,171.25995793041008
483.50558846382444,102.6423566148693,388.3651717262865,0.0,1.125,430.36096101359186,170.3729383964471
482.88765981646884,103.00683037238969,388.2194256935533,0.0,1.215,431.89802839005444,169.5657686670433
482.20622275060356,103.37127919200651,388.05869106611544,0.0,1.305,433.4350957679773,168.67922597437394
481.5836433353043,103.73567474421043,387.91183098551153,0.0,1.395,434.97216314734777,167.87253405933748
480.8970146304682,104.10004480093869,387.74985288386006,0.0,1.485,436.5092305281411,166.98647017550292
480.2697011757804,104.46436110135187,387.6018588105708,0.0,1.575,438.04629791034466,166.18025803913002
479.57778730441765,104.82865134497945,387.4386148340838,0.0,1.665,439.58336529393415,165.2946749252893
478.9456541759578,105.19288733992227,387.28946625735176,0.0,1.755,441.12043267889703,164.48894452555075
478.2483589450349,105.55709671303538,387.124933367002,0.0,1.845,442.65750006520904,163.60384413659455
477.6113180543247,105.92125134162751,386.9746091882878,0.0,1.935,444.194567452858,162.79859742524852
476.9085425019359,106.28537877963487,386.808763681881,0.0,2.025,445.73163484181964,161.9139817099109
476.26650321071173,106.64945097383827,386.6572421919433,0.0,2.115,447.2687022320821,161.10922063261464
475.5581454976322,107.01349540502144,386.4900596781319,0.0,2.205,448.8057696236212,160.2250915335843
474.91101451743106,107.37748408970378,386.3373185329742,0.0,2.295,450.3428370164253,159.4208180300041
474.1969698132,107.74144443523335,386.16877390396974,0.0,2.385,451.8799044104703,158.53717748403392
473.54465109988166,108.1053485281663,386.0147900995761,0.0,2.475,453.4169718057448,157.73339348795437
472.8248114631927,108.46922370215952,385.84485750249297,0.0,2.565,454.9540392022249,156.85024342596947
472.16720610616386,108.83304211408102,385.6896073482865,0.0,2.655,456.4911065998993,156.04695086540102
471.44146035904976,109.19683102362609,385.51826015501683,0.0,2.745,458.028173998763,155.16429321260634
470.77826329437454,109.19676008387631,385.361671273592,0.0,2.835,458.02728826433156,154.36124851382723
470.0461124165024,109.19670287835947,385.18879125901617,0.0,2.925,458.0264025298945,153.47862391117843
469.3770044717278,109.19663193847936,385.0307879057568,0.0,3.015,458.0255167954579,152.67557983621566
468.6382909204722,109.19657473281859,384.85633743555286,0.0,3.105,458.02463106101567,151.7929558691791
467.96315107370015,109.19650379280876,384.6968906315814,0.0,3.195,458.023745326574,150.98991241803506
467.2177397243023,109.19644658699355,384.5208373497882,0.0,3.285,458.0228595921266,150.1072890866133
466.5364430751362,109.19637564685831,384.35991718726586,0.0,3.375,458.0219738576798,149.30424625929047
465.784194447731,109.19631844089162,384.1822276948084,0.0,3.465,458.0210881232273,148.421623563486
465.0966120471727,109.19624750062883,384.0198032961961,0.0,3.555,458.0202023887754,147.61858135998688
464.3373821147308,109.19619029451042,383.8404431048754,0.0,3.645,458.0193166543177,146.73595929980226
463.6433807856207,109.19611935411768,383.67648257992016,0.0,3.735,458.0184309198607,145.9329177201293
462.87702077107986,109.19606214785159,383.4954160638216,0.0,3.825,458.0175451853979,145.05029629556705
462.17646291839907,109.19599120733403,383.32988646410496,0.0,3.915,458.01665945093566,144.2472553397227
461.4028190802927,109.19593400091657,383.1470768082388,0.0,4.005,458.0157737164678,143.36463455078535
460.6955624905775,109.19586306026531,382.97994407912853,0.0,4.095,458.01488798200046,142.56159421877211
459.9144758962837,109.19580585369584,382.7953532251159,0.0,4.185,458.01400224752746,141.6789740654622
459.2003735253982,109.19573491292118,382.62658215493525,0.0,4.275,458.01311651305497,140.87593435728246
458.41167981075705,109.19567697554078,382.44017074342196,0.0,4.365,458.0122276899006,139.99331483910998
457.775015524101,109.13968347957217,382.28968347957215,0.11146916738813697,4.455,458.0118083498837,139.2841122325001
