T,P,alpha,z
156.5067144370537,750.5918764414156,0.0,-0.05625
156.99036403335907,749.4081235585844,0.0,0.05625
157.47381722844193,748.4873133610724,0.0,0.16875
157.95714497192256,747.3046156064081,0.0,0.28125
158.440274621978,746.384860940976,0.0,0.39375
158.92327666259797,745.2032211666593,0.0,0.50625
159.4060789073592,744.2845253486205,0.0,0.61875
159.888751370688,743.1039468774974,0.0,0.73125
160.371222325394,742.1863132278562,0.0,0.84375
160.8535613123443,741.0067993886095,0.0,0.95625
161.33569706747426,740.0902312342532,0.0,1.06875
161.81769865402833,738.911785361597,0.0,1.18125
162.299495275026,737.996286035491,0.0,1.29375
162.78115551195862,736.8189114703664,0.0,1.40625
163.26260903892495,735.9044843117495,0.0,1.51875
163.7439239514988,734.7281844015229,0.0,1.63125
164.22503039891762,733.814832756106,0.0,1.74375
164.70599598659385,732.6396108547683,0.0,1.85625
165.18675134299667,731.7273380749344,0.0,1.96875
165.66736357909843,730.5531975433033,0.0,2.08125
166.1477637360734,729.642006988226,0.0,2.19375
166.5623905156462,728.5018543819915,0.03178796619435305,2.30625
166.52144231023294,727.7685375024371,0.2272762301930044,2.41875
166.45390457335833,726.5603243842592,0.36315194140228296,2.53125
166.42276290241114,726.0037533553559,0.45315913513581185,2.64375
166.36496514902802,724.9716753925326,0.5243217593031639,2.75625
166.33370949161002,724.4140372827618,0.5280336184250064,2.86875
166.3023158647768,723.8542803118487,0.5317095632630108,2.98125
166.2713717051426,723.3028734105484,0.5352820456721216,3.09375
166.2403151089086,722.7497981536451,0.53881839121511,3.20625
166.20967039524675,722.204386973805,0.542260050764484,3.31875
166.17893583546356,721.6577048397291,0.5456655935699599,3.43125
166.14857918001042,721.118066994738,0.5489842700484271,3.54375
166.11815262627744,720.5775079980128,0.5522670491538353,3.65625
166.0880732517955,720.0434331490375,0.5554699433021745,3.76875
166.05794155587836,719.508744331746,0.5586373217067666,3.88125
166.0281292479919,718.9800332495971,0.5617310607620932,3.99375
165.99828007046938,718.4509772630624,0.5647897965211474,4.10625
165.9687251350773,717.9274409890583,0.5677804916797698,4.21875
165.93914687923615,717.4037948165632,0.5707368001295677,4.33125
165.9098410842313,716.8852712425614,0.5736444659187312,4.44375
