Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
7.3426	1.0000	999.89	0.0010001	0.55601	0.55783	2.0087	75.636	75.663	1436.4	-0.042809	1412.3	0.57307	liquid
7.5093	1.0000	999.88	0.0010001	0.56862	0.57044	2.0536	75.627	75.657	1437.1	-0.042783	1405.2	0.57344	liquid
7.6759	1.0000	999.87	0.0010001	0.58123	0.58305	2.0985	75.619	75.651	1437.8	-0.042758	1398.2	0.57380	liquid
7.8426	1.0000	999.86	0.0010001	0.59383	0.59566	2.1434	75.610	75.645	1438.5	-0.042732	1391.3	0.57417	liquid
8.0092	1.0000	999.85	0.0010001	0.60644	0.60826	2.1882	75.601	75.640	1439.2	-0.042706	1384.3	0.57453	liquid
8.1759	1.0000	999.84	0.0010002	0.61904	0.62087	2.2330	75.593	75.634	1439.9	-0.042681	1377.5	0.57489	liquid
8.3425	1.0000	999.83	0.0010002	0.63165	0.63347	2.2778	75.584	75.629	1440.6	-0.042655	1370.7	0.57525	liquid
8.5092	1.0000	999.82	0.0010002	0.64425	0.64608	2.3226	75.575	75.623	1441.2	-0.042630	1363.9	0.57561	liquid
8.6758	1.0000	999.81	0.0010002	0.65685	0.65868	2.3673	75.566	75.618	1441.9	-0.042604	1357.3	0.57597	liquid
8.8425	1.0000	999.80	0.0010002	0.66945	0.67128	2.4120	75.557	75.612	1442.6	-0.042579	1350.6	0.57633	liquid
9.0091	1.0000	999.78	0.0010002	0.68205	0.68388	2.4567	75.548	75.607	1443.3	-0.042554	1344.0	0.57668	liquid
9.1758	1.0000	999.77	0.0010002	0.69465	0.69648	2.5013	75.539	75.602	1444.0	-0.042529	1337.5	0.57704	liquid
9.3424	1.0000	999.76	0.0010002	0.70725	0.70908	2.5459	75.530	75.597	1444.6	-0.042504	1331.0	0.57739	liquid
9.5091	1.0000	999.74	0.0010003	0.71985	0.72168	2.5905	75.521	75.592	1445.3	-0.042479	1324.6	0.57774	liquid
9.6757	1.0000	999.73	0.0010003	0.73245	0.73427	2.6351	75.512	75.587	1446.0	-0.042454	1318.2	0.57810	liquid
9.8424	1.0000	999.72	0.0010003	0.74504	0.74687	2.6796	75.503	75.582	1446.6	-0.042429	1311.8	0.57845	liquid
10.009	1.0000	999.70	0.0010003	0.75764	0.75946	2.7241	75.494	75.577	1447.3	-0.042404	1305.6	0.57880	liquid
10.176	1.0000	999.69	0.0010003	0.77023	0.77206	2.7686	75.485	75.572	1448.0	-0.042379	1299.3	0.57914	liquid
10.342	1.0000	999.67	0.0010003	0.78283	0.78465	2.8130	75.475	75.567	1448.6	-0.042355	1293.1	0.57949	liquid
10.509	1.0000	999.66	0.0010003	0.79542	0.79724	2.8574	75.466	75.562	1449.3	-0.042330	1287.0	0.57984	liquid
10.676	1.0000	999.64	0.0010004	0.80801	0.80984	2.9018	75.457	75.558	1449.9	-0.042305	1280.9	0.58018	liquid
10.842	1.0000	999.62	0.0010004	0.82060	0.82243	2.9461	75.448	75.553	1450.6	-0.042281	1274.8	0.58053	liquid
11.009	1.0000	999.61	0.0010004	0.83319	0.83502	2.9905	75.438	75.549	1451.2	-0.042256	1268.8	0.58087	liquid
11.176	1.0000	999.59	0.0010004	0.84578	0.84761	3.0347	75.429	75.544	1451.9	-0.042232	1262.9	0.58121	liquid
11.342	1.0000	999.57	0.0010004	0.85837	0.86020	3.0790	75.419	75.540	1452.5	-0.042208	1257.0	0.58156	liquid
11.509	1.0000	999.55	0.0010004	0.87096	0.87279	3.1232	75.410	75.535	1453.2	-0.042184	1251.1	0.58190	liquid
