Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
33.507	1.0000	994.54	0.0010055	2.5289	2.5308	8.7337	73.904	75.292	1516.8	-0.039391	741.11	0.61957	liquid
33.673	1.0000	994.48	0.0010055	2.5415	2.5433	8.7746	73.891	75.292	1517.2	-0.039373	738.60	0.61981	liquid
33.840	1.0000	994.43	0.0010056	2.5540	2.5559	8.8155	73.878	75.292	1517.5	-0.039354	736.11	0.62005	liquid
34.007	1.0000	994.37	0.0010057	2.5666	2.5684	8.8563	73.865	75.291	1517.9	-0.039335	733.63	0.62029	liquid
34.173	1.0000	994.31	0.0010057	2.5791	2.5810	8.8972	73.852	75.291	1518.2	-0.039316	731.16	0.62053	liquid
34.340	1.0000	994.26	0.0010058	2.5917	2.5935	8.9380	73.839	75.291	1518.5	-0.039297	728.71	0.62077	liquid
34.507	1.0000	994.20	0.0010058	2.6042	2.6060	8.9788	73.826	75.291	1518.9	-0.039278	726.27	0.62100	liquid
34.673	1.0000	994.15	0.0010059	2.6168	2.6186	9.0196	73.813	75.291	1519.2	-0.039260	723.84	0.62124	liquid
34.840	1.0000	994.09	0.0010059	2.6293	2.6311	9.0603	73.800	75.291	1519.5	-0.039241	721.43	0.62147	liquid
35.007	1.0000	994.03	0.0010060	2.6419	2.6437	9.1010	73.786	75.290	1519.9	-0.039222	719.03	0.62171	liquid
35.173	1.0000	993.97	0.0010061	2.6544	2.6562	9.1418	73.773	75.290	1520.2	-0.039204	716.65	0.62194	liquid
35.340	1.0000	993.92	0.0010061	2.6669	2.6688	9.1824	73.760	75.290	1520.5	-0.039185	714.27	0.62218	liquid
35.506	1.0000	993.86	0.0010062	2.6795	2.6813	9.2231	73.747	75.290	1520.8	-0.039166	711.91	0.62241	liquid
35.673	1.0000	993.80	0.0010062	2.6920	2.6939	9.2637	73.734	75.290	1521.2	-0.039148	709.56	0.62264	liquid
35.840	1.0000	993.74	0.0010063	2.7046	2.7064	9.3044	73.720	75.290	1521.5	-0.039129	707.23	0.62288	liquid
36.006	1.0000	993.68	0.0010064	2.7171	2.7190	9.3450	73.707	75.290	1521.8	-0.039111	704.90	0.62311	liquid
36.173	1.0000	993.62	0.0010064	2.7297	2.7315	9.3855	73.694	75.290	1522.1	-0.039092	702.59	0.62334	liquid
36.340	1.0000	993.57	0.0010065	2.7422	2.7441	9.4261	73.680	75.290	1522.4	-0.039074	700.29	0.62357	liquid
36.506	1.0000	993.51	0.0010065	2.7548	2.7566	9.4666	73.667	75.290	1522.7	-0.039055	698.01	0.62380	liquid
36.673	1.0000	993.45	0.0010066	2.7673	2.7692	9.5071	73.654	75.290	1523.1	-0.039037	695.73	0.62403	liquid
36.840	1.0000	993.39	0.0010067	2.7799	2.7817	9.5476	73.640	75.290	1523.4	-0.039018	693.47	0.62426	liquid
37.006	1.0000	993.33	0.0010067	2.7924	2.7943	9.5881	73.627	75.290	1523.7	-0.039000	691.22	0.62448	liquid
37.173	1.0000	993.27	0.0010068	2.8050	2.8068	9.6285	73.614	75.290	1524.0	-0.038981	688.98	0.62471	liquid
37.340	1.0000	993.21	0.0010068	2.8175	2.8193	9.6689	73.600	75.290	1524.3	-0.038963	686.75	0.62494	liquid
37.506	1.0000	993.15	0.0010069	2.8301	2.8319	9.7093	73.587	75.290	1524.6	-0.038945	684.54	0.62516	liquid
37.673	1.0000	993.09	0.0010070	2.8426	2.8444	9.7497	73.573	75.291	1524.9	-0.038926	682.33	0.62539	liquid
37.840	1.0000	993.03	0.0010070	2.8551	2.8570	9.7901	73.560	75.291	1525.2	-0.038908	680.14	0.62562	liquid
38.006	1.0000	992.96	0.0010071	2.8677	2.8695	9.8304	73.546	75.291	1525.5	-0.038890	677.96	0.62584	liquid
38.173	1.0000	992.90	0.0010071	2.8802	2.8821	9.8707	73.533	75.291	1525.8	-0.038871	675.79	0.62606	liquid
38.340	1.0000	992.84	0.0010072	2.8928	2.8946	9.9110	73.519	75.291	1526.1	-0.038853	673.63	0.62629	liquid
38.506	1.0000	992.78	0.0010073	2.9053	2.9072	9.9513	73.506	75.291	1526.4	-0.038835	671.49	0.62651	liquid
38.673	1.0000	992.72	0.0010073	2.9179	2.9197	9.9915	73.492	75.291	1526.7	-0.038817	669.35	0.62673	liquid
38.839	1.0000	992.66	0.0010074	2.9304	2.9323	10.032	73.479	75.292	1526.9	-0.038798	667.23	0.62696	liquid
39.006	1.0000	992.59	0.0010075	2.9430	2.9448	10.072	73.465	75.292	1527.2	-0.038780	665.11	0.62718	liquid
39.173	1.0000	992.53	0.0010075	2.9555	2.9574	10.112	73.451	75.292	1527.5	-0.038762	663.01	0.62740	liquid
39.339	1.0000	992.47	0.0010076	2.9681	2.9699	10.152	73.438	75.292	1527.8	-0.038744	660.92	0.62762	liquid
39.506	1.0000	992.40	0.0010077	2.9806	2.9825	10.192	73.424	75.293	1528.1	-0.038726	658.84	0.62784	liquid
39.673	1.0000	992.34	0.0010077	2.9932	2.9950	10.233	73.410	75.293	1528.4	-0.038708	656.76	0.62806	liquid
39.839	1.0000	992.28	0.0010078	3.0057	3.0076	10.273	73.397	75.293	1528.6	-0.038690	654.70	0.62828	liquid
40.006	1.0000	992.21	0.0010078	3.0183	3.0201	10.313	73.383	75.293	1528.9	-0.038671	652.66	0.62849	liquid
40.173	1.0000	992.15	0.0010079	3.0308	3.0327	10.353	73.369	75.294	1529.2	-0.038653	650.62	0.62871	liquid
40.339	1.0000	992.09	0.0010080	3.0434	3.0452	10.393	73.355	75.294	1529.5	-0.038635	648.59	0.62893	liquid
40.506	1.0000	992.02	0.0010080	3.0559	3.0577	10.433	73.342	75.294	1529.7	-0.038617	646.57	0.62914	liquid
40.673	1.0000	991.96	0.0010081	3.0685	3.0703	10.473	73.328	75.294	1530.0	-0.038599	644.56	0.62936	liquid
40.839	1.0000	991.89	0.0010082	3.0810	3.0828	10.513	73.314	75.295	1530.3	-0.038581	642.56	0.62958	liquid
41.006	1.0000	991.83	0.0010082	3.0936	3.0954	10.553	73.300	75.295	1530.5	-0.038563	640.57	0.62979	liquid
41.173	1.0000	991.76	0.0010083	3.1061	3.1079	10.593	73.287	75.296	1530.8	-0.038545	638.60	0.63001	liquid
41.339	1.0000	991.70	0.0010084	3.1186	3.1205	10.633	73.273	75.296	1531.1	-0.038528	636.63	0.63022	liquid
41.506	1.0000	991.63	0.0010084	3.1312	3.1330	10.673	73.259	75.296	1531.3	-0.038510	634.67	0.63043	liquid
41.673	1.0000	991.57	0.0010085	3.1437	3.1456	10.712	73.245	75.297	1531.6	-0.038492	632.72	0.63065	liquid
41.839	1.0000	991.50	0.0010086	3.1563	3.1581	10.752	73.231	75.297	1531.8	-0.038474	630.78	0.63086	liquid
42.006	1.0000	991.43	0.0010086	3.1688	3.1707	10.792	73.217	75.297	1532.1	-0.038456	628.85	0.63107	liquid
42.172	1.0000	991.37	0.0010087	3.1814	3.1832	10.832	73.203	75.298	1532.4	-0.038438	626.93	0.63128	liquid
42.339	1.0000	991.30	0.0010088	3.1939	3.1958	10.872	73.189	75.298	1532.6	-0.038420	625.02	0.63149	liquid
42.506	1.0000	991.23	0.0010088	3.2065	3.2083	10.911	73.175	75.299	1532.9	-0.038403	623.12	0.63170	liquid
42.672	1.0000	991.17	0.0010089	3.2190	3.2209	10.951	73.161	75.299	1533.1	-0.038385	621.23	0.63191	liquid
42.839	1.0000	991.10	0.0010090	3.2316	3.2334	10.991	73.147	75.300	1533.4	-0.038367	619.35	0.63212	liquid
43.006	1.0000	991.03	0.0010090	3.2441	3.2460	11.031	73.133	75.300	1533.6	-0.038349	617.48	0.63233	liquid
43.172	1.0000	990.97	0.0010091	3.2567	3.2585	11.070	73.119	75.301	1533.9	-0.038331	615.61	0.63254	liquid
43.339	1.0000	990.90	0.0010092	3.2692	3.2711	11.110	73.105	75.301	1534.1	-0.038314	613.76	0.63274	liquid
43.506	1.0000	990.83	0.0010093	3.2818	3.2836	11.150	73.091	75.302	1534.3	-0.038296	611.92	0.63295	liquid
43.672	1.0000	990.76	0.0010093	3.2943	3.2962	11.189	73.077	75.302	1534.6	-0.038278	610.08	0.63316	liquid
43.839	1.0000	990.69	0.0010094	3.3069	3.3087	11.229	73.063	75.303	1534.8	-0.038261	608.25	0.63336	liquid
44.006	1.0000	990.63	0.0010095	3.3194	3.3213	11.268	73.049	75.303	1535.1	-0.038243	606.43	0.63357	liquid
44.172	1.0000	990.56	0.0010095	3.3320	3.3338	11.308	73.035	75.304	1535.3	-0.038225	604.63	0.63377	liquid
44.339	1.0000	990.49	0.0010096	3.3445	3.3464	11.347	73.021	75.304	1535.5	-0.038208	602.83	0.63398	liquid
44.506	1.0000	990.42	0.0010097	3.3571	3.3589	11.387	73.007	75.305	1535.8	-0.038190	601.03	0.63418	liquid
44.672	1.0000	990.35	0.0010097	3.3696	3.3715	11.426	72.993	75.305	1536.0	-0.038172	599.25	0.63438	liquid
44.839	1.0000	990.28	0.0010098	3.3822	3.3840	11.466	72.978	75.306	1536.2	-0.038155	597.48	0.63459	liquid
45.006	1.0000	990.21	0.0010099	3.3947	3.3966	11.505	72.964	75.306	1536.5	-0.038137	595.71	0.63479	liquid
45.172	1.0000	990.14	0.0010100	3.4073	3.4091	11.545	72.950	75.307	1536.7	-0.038120	593.95	0.63499	liquid
45.339	1.0000	990.07	0.0010100	3.4198	3.4217	11.584	72.936	75.308	1536.9	-0.038102	592.21	0.63519	liquid
45.505	1.0000	990.00	0.0010101	3.4324	3.4342	11.624	72.922	75.308	1537.1	-0.038085	590.47	0.63539	liquid
45.672	1.0000	989.93	0.0010102	3.4449	3.4468	11.663	72.907	75.309	1537.4	-0.038067	588.73	0.63559	liquid
45.839	1.0000	989.86	0.0010102	3.4575	3.4593	11.702	72.893	75.309	1537.6	-0.038050	587.01	0.63579	liquid
46.005	1.0000	989.79	0.0010103	3.4700	3.4719	11.742	72.879	75.310	1537.8	-0.038032	585.29	0.63599	liquid
46.172	1.0000	989.72	0.0010104	3.4826	3.4844	11.781	72.865	75.311	1538.0	-0.038015	583.59	0.63619	liquid
46.339	1.0000	989.65	0.0010105	3.4951	3.4970	11.820	72.850	75.311	1538.2	-0.037997	581.89	0.63639	liquid
46.505	1.0000	989.58	0.0010105	3.5077	3.5095	11.860	72.836	75.312	1538.4	-0.037980	580.20	0.63659	liquid
46.672	1.0000	989.50	0.0010106	3.5202	3.5221	11.899	72.822	75.313	1538.6	-0.037962	578.51	0.63679	liquid
46.839	1.0000	989.43	0.0010107	3.5328	3.5346	11.938	72.807	75.313	1538.9	-0.037945	576.84	0.63698	liquid
47.005	1.0000	989.36	0.0010108	3.5453	3.5472	11.977	72.793	75.314	1539.1	-0.037927	575.17	0.63718	liquid
47.172	1.0000	989.29	0.0010108	3.5579	3.5597	12.016	72.779	75.315	1539.3	-0.037910	573.51	0.63737	liquid
47.339	1.0000	989.22	0.0010109	3.5704	3.5723	12.056	72.764	75.316	1539.5	-0.037893	571.86	0.63757	liquid
47.505	1.0000	989.14	0.0010110	3.5830	3.5848	12.095	72.750	75.316	1539.7	-0.037875	570.22	0.63776	liquid
47.672	1.0000	989.07	0.0010111	3.5955	3.5974	12.134	72.735	75.317	1539.9	-0.037858	568.58	0.63796	liquid
47.839	1.0000	989.00	0.0010111	3.6081	3.6099	12.173	72.721	75.318	1540.1	-0.037840	566.96	0.63815	liquid
48.005	1.0000	988.92	0.0010112	3.6206	3.6225	12.212	72.707	75.318	1540.3	-0.037823	565.34	0.63835	liquid
48.172	1.0000	988.85	0.0010113	3.6332	3.6350	12.251	72.692	75.319	1540.5	-0.037806	563.72	0.63854	liquid
48.339	1.0000	988.78	0.0010113	3.6457	3.6476	12.290	72.678	75.320	1540.7	-0.037788	562.12	0.63873	liquid
48.505	1.0000	988.70	0.0010114	3.6583	3.6601	12.329	72.663	75.321	1540.9	-0.037771	560.52	0.63892	liquid
48.672	1.0000	988.63	0.0010115	3.6708	3.6727	12.368	72.649	75.321	1541.1	-0.037754	558.93	0.63911	liquid
48.838	1.0000	988.56	0.0010116	3.6834	3.6852	12.407	72.634	75.322	1541.3	-0.037737	557.35	0.63930	liquid
49.005	1.0000	988.48	0.0010117	3.6959	3.6978	12.446	72.620	75.323	1541.5	-0.037719	555.77	0.63950	liquid
49.172	1.0000	988.41	0.0010117	3.7085	3.7103	12.485	72.605	75.324	1541.7	-0.037702	554.20	0.63968	liquid
49.338	1.0000	988.33	0.0010118	3.7210	3.7229	12.524	72.591	75.325	1541.8	-0.037685	552.64	0.63987	liquid
49.505	1.0000	988.26	0.0010119	3.7336	3.7354	12.563	72.576	75.326	1542.0	-0.037667	551.09	0.64006	liquid
49.672	1.0000	988.18	0.0010120	3.7462	3.7480	12.602	72.561	75.326	1542.2	-0.037650	549.54	0.64025	liquid
49.838	1.0000	988.11	0.0010120	3.7587	3.7606	12.641	72.547	75.327	1542.4	-0.037633	548.00	0.64044	liquid
50.005	1.0000	988.03	0.0010121	3.7713	3.7731	12.680	72.532	75.328	1542.6	-0.037616	546.47	0.64063	liquid
50.172	1.0000	987.96	0.0010122	3.7838	3.7857	12.719	72.518	75.329	1542.8	-0.037599	544.95	0.64081	liquid
50.338	1.0000	987.88	0.0010123	3.7964	3.7982	12.757	72.503	75.330	1542.9	-0.037581	543.43	0.64100	liquid
50.505	1.0000	987.81	0.0010123	3.8089	3.8108	12.796	72.488	75.331	1543.1	-0.037564	541.92	0.64119	liquid
50.672	1.0000	987.73	0.0010124	3.8215	3.8233	12.835	72.474	75.331	1543.3	-0.037547	540.41	0.64137	liquid
50.838	1.0000	987.65	0.0010125	3.8340	3.8359	12.874	72.459	75.332	1543.5	-0.037530	538.91	0.64156	liquid
51.005	1.0000	987.58	0.0010126	3.8466	3.8484	12.912	72.445	75.333	1543.6	-0.037513	537.42	0.64174	liquid
51.172	1.0000	987.50	0.0010127	3.8591	3.8610	12.951	72.430	75.334	1543.8	-0.037496	535.94	0.64192	liquid
51.338	1.0000	987.42	0.0010127	3.8717	3.8735	12.990	72.415	75.335	1544.0	-0.037479	534.46	0.64211	liquid
51.505	1.0000	987.35	0.0010128	3.8842	3.8861	13.029	72.400	75.336	1544.2	-0.037461	532.99	0.64229	liquid
51.672	1.0000	987.27	0.0010129	3.8968	3.8986	13.067	72.386	75.337	1544.3	-0.037444	531.53	0.64247	liquid
51.838	1.0000	987.19	0.0010130	3.9094	3.9112	13.106	72.371	75.338	1544.5	-0.037427	530.07	0.64266	liquid
52.005	1.0000	987.12	0.0010131	3.9219	3.9238	13.144	72.356	75.339	1544.7	-0.037410	528.62	0.64284	liquid
52.171	1.0000	987.04	0.0010131	3.9345	3.9363	13.183	72.342	75.340	1544.8	-0.037393	527.18	0.64302	liquid
52.338	1.0000	986.96	0.0010132	3.9470	3.9489	13.222	72.327	75.341	1545.0	-0.037376	525.74	0.64320	liquid
52.505	1.0000	986.88	0.0010133	3.9596	3.9614	13.260	72.312	75.342	1545.1	-0.037359	524.31	0.64338	liquid
52.671	1.0000	986.80	0.0010134	3.9721	3.9740	13.299	72.297	75.343	1545.3	-0.037342	522.88	0.64356	liquid
52.838	1.0000	986.73	0.0010135	3.9847	3.9865	13.337	72.282	75.344	1545.5	-0.037325	521.46	0.64374	liquid
53.005	1.0000	986.65	0.0010135	3.9972	3.9991	13.376	72.268	75.345	1545.6	-0.037308	520.05	0.64392	liquid
53.171	1.0000	986.57	0.0010136	4.0098	4.0116	13.414	72.253	75.346	1545.8	-0.037291	518.65	0.64410	liquid
53.338	1.0000	986.49	0.0010137	4.0224	4.0242	13.453	72.238	75.347	1545.9	-0.037274	517.25	0.64427	liquid
53.505	1.0000	986.41	0.0010138	4.0349	4.0368	13.491	72.223	75.348	1546.1	-0.037257	515.85	0.64445	liquid
53.671	1.0000	986.33	0.0010139	4.0475	4.0493	13.530	72.208	75.349	1546.2	-0.037240	514.47	0.64463	liquid
53.838	1.0000	986.25	0.0010139	4.0600	4.0619	13.568	72.193	75.350	1546.4	-0.037223	513.09	0.64480	liquid
54.005	1.0000	986.17	0.0010140	4.0726	4.0744	13.606	72.179	75.351	1546.5	-0.037206	511.71	0.64498	liquid
54.171	1.0000	986.09	0.0010141	4.0851	4.0870	13.645	72.164	75.352	1546.7	-0.037189	510.34	0.64516	liquid
54.338	1.0000	986.01	0.0010142	4.0977	4.0995	13.683	72.149	75.353	1546.8	-0.037172	508.98	0.64533	liquid
54.505	1.0000	985.93	0.0010143	4.1103	4.1121	13.722	72.134	75.354	1547.0	-0.037155	507.62	0.64550	liquid
54.671	1.0000	985.85	0.0010144	4.1228	4.1247	13.760	72.119	75.355	1547.1	-0.037138	506.27	0.64568	liquid
54.838	1.0000	985.77	0.0010144	4.1354	4.1372	13.798	72.104	75.356	1547.3	-0.037121	504.93	0.64585	liquid
55.005	1.0000	985.69	0.0010145	4.1479	4.1498	13.836	72.089	75.357	1547.4	-0.037104	503.59	0.64603	liquid
55.171	1.0000	985.61	0.0010146	4.1605	4.1623	13.875	72.074	75.358	1547.5	-0.037087	502.26	0.64620	liquid
55.338	1.0000	985.53	0.0010147	4.1730	4.1749	13.913	72.059	75.359	1547.7	-0.037070	500.93	0.64637	liquid
55.504	1.0000	985.45	0.0010148	4.1856	4.1875	13.951	72.044	75.360	1547.8	-0.037053	499.61	0.64654	liquid
55.671	1.0000	985.37	0.0010149	4.1982	4.2000	13.989	72.029	75.362	1547.9	-0.037036	498.29	0.64671	liquid
55.838	1.0000	985.29	0.0010149	4.2107	4.2126	14.028	72.014	75.363	1548.1	-0.037019	496.98	0.64688	liquid
56.004	1.0000	985.20	0.0010150	4.2233	4.2251	14.066	71.999	75.364	1548.2	-0.037002	495.68	0.64705	liquid
56.171	1.0000	985.12	0.0010151	4.2358	4.2377	14.104	71.984	75.365	1548.3	-0.036986	494.38	0.64722	liquid
56.338	1.0000	985.04	0.0010152	4.2484	4.2503	14.142	71.969	75.366	1548.5	-0.036969	493.09	0.64739	liquid
56.504	1.0000	984.96	0.0010153	4.2610	4.2628	14.180	71.954	75.367	1548.6	-0.036952	491.80	0.64756	liquid
56.671	1.0000	984.88	0.0010154	4.2735	4.2754	14.218	71.939	75.368	1548.7	-0.036935	490.52	0.64773	liquid
56.838	1.0000	984.79	0.0010154	4.2861	4.2879	14.256	71.924	75.370	1548.8	-0.036918	489.24	0.64790	liquid
57.004	1.0000	984.71	0.0010155	4.2986	4.3005	14.294	71.909	75.371	1549.0	-0.036901	487.97	0.64807	liquid
57.171	1.0000	984.63	0.0010156	4.3112	4.3131	14.332	71.894	75.372	1549.1	-0.036884	486.71	0.64823	liquid
57.338	1.0000	984.54	0.0010157	4.3238	4.3256	14.370	71.879	75.373	1549.2	-0.036867	485.45	0.64840	liquid
57.504	1.0000	984.46	0.0010158	4.3363	4.3382	14.408	71.864	75.374	1549.3	-0.036851	484.19	0.64857	liquid
57.671	1.0000	984.38	0.0010159	4.3489	4.3507	14.446	71.849	75.375	1549.5	-0.036834	482.94	0.64873	liquid
57.838	1.0000	984.29	0.0010160	4.3614	4.3633	14.484	71.834	75.377	1549.6	-0.036817	481.70	0.64890	liquid
58.004	1.0000	984.21	0.0010160	4.3740	4.3759	14.522	71.819	75.378	1549.7	-0.036800	480.46	0.64906	liquid
58.171	1.0000	984.13	0.0010161	4.3866	4.3884	14.560	71.804	75.379	1549.8	-0.036783	479.23	0.64923	liquid
58.338	1.0000	984.04	0.0010162	4.3991	4.4010	14.598	71.788	75.380	1549.9	-0.036767	478.00	0.64939	liquid
58.504	1.0000	983.96	0.0010163	4.4117	4.4135	14.636	71.773	75.382	1550.0	-0.036750	476.78	0.64955	liquid
58.671	1.0000	983.87	0.0010164	4.4243	4.4261	14.674	71.758	75.383	1550.1	-0.036733	475.56	0.64972	liquid
58.837	1.0000	983.79	0.0010165	4.4368	4.4387	14.712	71.743	75.384	1550.2	-0.036716	474.35	0.64988	liquid
59.004	1.0000	983.71	0.0010166	4.4494	4.4512	14.749	71.728	75.385	1550.4	-0.036699	473.14	0.65004	liquid
59.171	1.0000	983.62	0.0010167	4.4619	4.4638	14.787	71.713	75.387	1550.5	-0.036683	471.94	0.65020	liquid
59.337	1.0000	983.54	0.0010167	4.4745	4.4764	14.825	71.698	75.388	1550.6	-0.036666	470.74	0.65036	liquid
59.504	1.0000	983.45	0.0010168	4.4871	4.4889	14.863	71.682	75.389	1550.7	-0.036649	469.55	0.65052	liquid
59.671	1.0000	983.36	0.0010169	4.4996	4.5015	14.901	71.667	75.390	1550.8	-0.036632	468.37	0.65068	liquid
59.837	1.0000	983.28	0.0010170	4.5122	4.5140	14.938	71.652	75.392	1550.9	-0.036615	467.18	0.65084	liquid
60.004	1.0000	983.19	0.0010171	4.5248	4.5266	14.976	71.637	75.393	1551.0	-0.036599	466.01	0.65100	liquid
60.171	1.0000	983.11	0.0010172	4.5373	4.5392	15.014	71.622	75.394	1551.1	-0.036582	464.84	0.65116	liquid
60.337	1.0000	983.02	0.0010173	4.5499	4.5517	15.051	71.606	75.396	1551.2	-0.036565	463.67	0.65132	liquid
60.504	1.0000	982.94	0.0010174	4.5625	4.5643	15.089	71.591	75.397	1551.3	-0.036548	462.51	0.65148	liquid
60.671	1.0000	982.85	0.0010174	4.5750	4.5769	15.127	71.576	75.398	1551.4	-0.036532	461.35	0.65164	liquid
60.837	1.0000	982.76	0.0010175	4.5876	4.5894	15.164	71.561	75.400	1551.5	-0.036515	460.20	0.65179	liquid
61.004	1.0000	982.68	0.0010176	4.6001	4.6020	15.202	71.545	75.401	1551.6	-0.036498	459.05	0.65195	liquid
61.171	1.0000	982.59	0.0010177	4.6127	4.6146	15.240	71.530	75.402	1551.6	-0.036481	457.91	0.65211	liquid
61.337	1.0000	982.50	0.0010178	4.6253	4.6271	15.277	71.515	75.404	1551.7	-0.036465	456.77	0.65226	liquid
61.504	1.0000	982.42	0.0010179	4.6378	4.6397	15.315	71.499	75.405	1551.8	-0.036448	455.64	0.65242	liquid
61.671	1.0000	982.33	0.0010180	4.6504	4.6523	15.352	71.484	75.407	1551.9	-0.036431	454.51	0.65257	liquid
61.837	1.0000	982.24	0.0010181	4.6630	4.6648	15.390	71.469	75.408	1552.0	-0.036414	453.38	0.65273	liquid
62.004	1.0000	982.15	0.0010182	4.6755	4.6774	15.427	71.454	75.409	1552.1	-0.036398	452.26	0.65288	liquid
62.170	1.0000	982.07	0.0010183	4.6881	4.6900	15.465	71.438	75.411	1552.2	-0.036381	451.15	0.65304	liquid
62.337	1.0000	981.98	0.0010184	4.7007	4.7025	15.502	71.423	75.412	1552.2	-0.036364	450.04	0.65319	liquid
62.504	1.0000	981.89	0.0010184	4.7132	4.7151	15.540	71.408	75.414	1552.3	-0.036348	448.93	0.65334	liquid
62.670	1.0000	981.80	0.0010185	4.7258	4.7277	15.577	71.392	75.415	1552.4	-0.036331	447.83	0.65349	liquid
62.837	1.0000	981.71	0.0010186	4.7384	4.7402	15.615	71.377	75.416	1552.5	-0.036314	446.74	0.65364	liquid
63.004	1.0000	981.62	0.0010187	4.7509	4.7528	15.652	71.362	75.418	1552.6	-0.036297	445.64	0.65380	liquid
63.170	1.0000	981.54	0.0010188	4.7635	4.7654	15.689	71.346	75.419	1552.6	-0.036281	444.56	0.65395	liquid
63.337	1.0000	981.45	0.0010189	4.7761	4.7779	15.727	71.331	75.421	1552.7	-0.036264	443.47	0.65410	liquid
63.504	1.0000	981.36	0.0010190	4.7887	4.7905	15.764	71.316	75.422	1552.8	-0.036247	442.39	0.65425	liquid
63.670	1.0000	981.27	0.0010191	4.8012	4.8031	15.801	71.300	75.424	1552.9	-0.036231	441.32	0.65440	liquid
63.837	1.0000	981.18	0.0010192	4.8138	4.8157	15.839	71.285	75.425	1552.9	-0.036214	440.25	0.65455	liquid
64.004	1.0000	981.09	0.0010193	4.8264	4.8282	15.876	71.269	75.427	1553.0	-0.036197	439.18	0.65470	liquid
64.170	1.0000	981.00	0.0010194	4.8389	4.8408	15.913	71.254	75.428	1553.1	-0.036181	438.12	0.65484	liquid
64.337	1.0000	980.91	0.0010195	4.8515	4.8534	15.951	71.239	75.430	1553.1	-0.036164	437.07	0.65499	liquid
64.504	1.0000	980.82	0.0010196	4.8641	4.8659	15.988	71.223	75.431	1553.2	-0.036147	436.01	0.65514	liquid
64.670	1.0000	980.73	0.0010196	4.8766	4.8785	16.025	71.208	75.433	1553.3	-0.036130	434.97	0.65529	liquid
64.837	1.0000	980.64	0.0010197	4.8892	4.8911	16.062	71.192	75.434	1553.3	-0.036114	433.92	0.65543	liquid
65.004	1.0000	980.55	0.0010198	4.9018	4.9036	16.099	71.177	75.436	1553.4	-0.036097	432.88	0.65558	liquid
65.170	1.0000	980.46	0.0010199	4.9144	4.9162	16.137	71.161	75.437	1553.5	-0.036080	431.85	0.65572	liquid
65.337	1.0000	980.37	0.0010200	4.9269	4.9288	16.174	71.146	75.439	1553.5	-0.036064	430.81	0.65587	liquid
65.503	1.0000	980.28	0.0010201	4.9395	4.9414	16.211	71.131	75.440	1553.6	-0.036047	429.79	0.65601	liquid
65.670	1.0000	980.19	0.0010202	4.9521	4.9539	16.248	71.115	75.442	1553.6	-0.036030	428.76	0.65616	liquid
65.837	1.0000	980.09	0.0010203	4.9646	4.9665	16.285	71.100	75.444	1553.7	-0.036014	427.74	0.65630	liquid
66.003	1.0000	980.00	0.0010204	4.9772	4.9791	16.322	71.084	75.445	1553.8	-0.035997	426.73	0.65645	liquid
66.170	1.0000	979.91	0.0010205	4.9898	4.9917	16.359	71.069	75.447	1553.8	-0.035980	425.72	0.65659	liquid
66.337	1.0000	979.82	0.0010206	5.0024	5.0042	16.396	71.053	75.448	1553.9	-0.035964	424.71	0.65673	liquid
66.503	1.0000	979.73	0.0010207	5.0149	5.0168	16.433	71.038	75.450	1553.9	-0.035947	423.71	0.65687	liquid
66.670	1.0000	979.64	0.0010208	5.0275	5.0294	16.470	71.022	75.451	1554.0	-0.035930	422.71	0.65702	liquid
66.837	1.0000	979.54	0.0010209	5.0401	5.0419	16.507	71.007	75.453	1554.0	-0.035914	421.71	0.65716	liquid
67.003	1.0000	979.45	0.0010210	5.0527	5.0545	16.544	70.991	75.455	1554.1	-0.035897	420.72	0.65730	liquid
67.170	1.0000	979.36	0.0010211	5.0652	5.0671	16.581	70.976	75.456	1554.1	-0.035880	419.73	0.65744	liquid
67.337	1.0000	979.27	0.0010212	5.0778	5.0797	16.618	70.960	75.458	1554.2	-0.035864	418.75	0.65758	liquid
67.503	1.0000	979.17	0.0010213	5.0904	5.0922	16.655	70.945	75.460	1554.2	-0.035847	417.77	0.65772	liquid
67.670	1.0000	979.08	0.0010214	5.1030	5.1048	16.692	70.929	75.461	1554.3	-0.035830	416.80	0.65786	liquid
67.837	1.0000	978.99	0.0010215	5.1155	5.1174	16.729	70.914	75.463	1554.3	-0.035814	415.82	0.65800	liquid
68.003	1.0000	978.89	0.0010216	5.1281	5.1300	16.766	70.898	75.465	1554.3	-0.035797	414.86	0.65813	liquid
68.170	1.0000	978.80	0.0010217	5.1407	5.1425	16.803	70.883	75.466	1554.4	-0.035780	413.89	0.65827	liquid
68.337	1.0000	978.71	0.0010218	5.1533	5.1551	16.839	70.867	75.468	1554.4	-0.035764	412.93	0.65841	liquid
68.503	1.0000	978.61	0.0010219	5.1658	5.1677	16.876	70.852	75.470	1554.5	-0.035747	411.98	0.65855	liquid
68.670	1.0000	978.52	0.0010220	5.1784	5.1803	16.913	70.836	75.471	1554.5	-0.035730	411.02	0.65868	liquid
