T,P,alpha,z
155.7807333117389,752.0601604175081,-4.993610344288579e-18,-0.225
157.71574555398405,747.9398395824919,-5.012210609393783e-18,0.225
159.64819270009093,743.6420981187996,2.346786944833631e-18,0.675
161.577964400371,739.5228274666441,1.7360716184217303e-18,1.125
163.5050454578871,735.2261173144768,1.2078274753429401e-19,1.575
165.42931506945217,731.1078596969105,1.9815705912484783e-9,2.025
166.50965179505187,727.5574968669966,0.17791298259275562,2.475
166.3254502366891,724.2667392189169,0.303147460546662,2.925
166.17132428935622,721.5223674045292,0.39591365416950436,3.375
166.0193574644003,718.8245273932308,0.4674180303909768,3.825
165.88977839585527,716.5304626100618,0.5240928013394901,4.275
