0.0,0.0,121.68015487711153,498.0
0.2515,0.0,124.53952992770473,495.6748208323296
0.503,0.0,127.39544182472798,493.3555507573591
0.7545,0.0,130.2477369691842,491.04226855383274
1.006,0.0,133.0962587303963,488.735052466021
1.2575,0.0,135.94084746523708,486.4339802601444
1.509,0.0,138.78134052622124,484.1391292796019
1.7605,0.0,141.61757225800847,481.8505764991521
2.012,0.0,144.4493739821272,479.56839857818846
2.2635,0.0,147.2765739696382,477.2926719132363
2.515,0.11074448022630924,149.92949083486684,475.2652553706087
2.7665,0.6934089876582391,149.86412043651058,474.4327294910085
3.018,0.6975160495299502,149.808461095829,473.7248004444689
3.2695,0.7014809952882968,149.753424913627,473.02562993299625
3.521,0.7053118290705126,149.6989904206016,472.3349168748056
3.7725,0.7090159388727703,149.6451373298981,471.65237679269444
4.024,0.71260015614592,149.5918464480593,470.97774056285976
4.2755,0.7160708084995342,149.53909959440097,470.3107532821894
4.527,0.7194337664378029,149.48687952785752,469.6511732406142
4.7785,0.7226944849083372,149.43516988048867,468.99877098686443
