hl_sat,T,T_sat,alpha,z,h,p
493.18698812541595,99.22571280883642,390.6475797521244,0.0,-0.045,415.9641198276895,183.42966863583504
492.5671880153939,99.62351807128124,390.50152164611694,0.0,0.045,417.6401523810648,182.57033136416496
491.9599756637386,100.02127622140301,390.3584217220962,0.0,0.135,419.31618493623364,181.7315963214203
491.3358725581079,100.41899418842331,390.2113327990856,0.0,0.225,420.99221749316047,180.87277005912935
490.72443358709506,100.81666439760386,390.0672203214128,0.0,0.315,422.66825005182363,180.03454718948166
490.09595660302074,101.21429375621034,389.9190836028618,0.0,0.405,424.3442826121987,179.17623428768727
489.48022109937887,101.61187470627704,389.77394182502417,0.0,0.495,426.02031517426406,178.3385259579151
488.8472975088785,102.00941413307305,389.6247398904324,0.0,0.585,427.6963477379956,177.48072877898431
488.22719371608827,102.40690449546167,389.47855162445603,0.0,0.675,429.3723803033721,176.64353734706373
487.58974886537044,102.80435265666182,389.3282665921032,0.0,0.765,431.0484128703695,175.7862582446451
486.96520311769393,103.20175109247197,389.1810141927732,0.0,0.855,432.72444543896677,174.94958605991695
486.32316035805724,103.5991066439779,389.0296277031505,0.0,0.945,434.4004780091402,174.09282737910672
485.6940970117567,103.99641180400579,388.88129305150926,0.0,1.035,436.0765105808692,173.2566767824418
485.04737762719884,104.39367339146389,388.7287862499973,0.0,1.125,437.75254315412985,172.40044085994796
484.41371898841913,104.79088391627425,388.57935073608917,0.0,1.215,439.42857572890205,171.56481418390985
483.76224212004223,105.18805017510476,388.4257042548354,0.0,1.305,441.1046083051623,170.70910334821397
483.12390836943524,105.58516469508629,388.2751487596423,0.0,1.395,442.78064088289034,169.87400291721985
482.46759093622506,105.98223425056347,388.1203426985895,0.0,1.485,444.45667346206307,169.01881948873663
481.8245000500615,106.37925138596421,387.9686475751282,0.0,1.575,446.1327060426605,168.1842476192159
481.16325666594724,106.77622285325873,387.8126614821537,0.0,1.665,447.80873862465967,167.32959391045108
480.51532433338764,107.17314121425994,387.65980653567146,0.0,1.755,449.48477120804085,166.49555291100208
479.84906722044474,107.57001319849127,387.50261938577705,0.0,1.845,451.16080379278134,165.64143122670785
479.19620675698485,107.96683138525873,387.34858385300737,0.0,1.935,452.83683637886145,164.80792339825248
478.52484565437516,108.36360248157047,387.1901740265145,0.0,2.025,454.51286896625885,163.9543360355815
477.866967911021,108.76031908431071,387.03493655391884,0.0,2.115,456.1889015549541,163.1213636715182
477.1904099794766,109.15698787790126,386.87528181360346,0.0,2.205,457.8649341449249,162.26831292017522
476.52742324752904,109.55360147691312,386.718820434572,0.0,2.295,459.54096673615214,161.43587830652982
475.8455729693494,109.95016654311297,386.5578979016759,0.0,2.385,461.2169993286136,160.58336644892208
475.1773828805156,110.34667570885102,386.4001900125855,0.0,2.475,462.8930319222905,159.75147186449703
474.49014195438457,110.74313561316512,386.2379761416477,0.0,2.565,464.5690645171609,158.89950117588253
473.8166513758448,111.13953890628949,386.0789984767404,0.0,2.655,466.24509711320593,158.06814889240445
473.12391860651405,111.53589220446531,385.9154690291642,0.0,2.745,467.921129710427,157.2167216410384
472.44480547541923,111.5358250443847,385.7551452101778,0.0,2.835,467.9202439898584,156.38564276103685
471.7460568387433,111.53576135986918,385.59017610432375,0.0,2.925,467.91935826928653,155.53425200462027
471.0609842541455,111.53569419965027,385.42842621181893,0.0,3.015,467.9184725487129,154.70317375392838
470.3560694302173,111.53563051498423,385.26198155258993,0.0,3.105,467.91758682813577,153.85178362986173
469.66491724185295,111.53556335462127,385.09877681668837,0.0,3.195,467.916701107557,153.02070600848205
468.95371122206717,111.53549966980205,384.93082667075515,0.0,3.285,467.9158153869748,152.1693165167678
468.25635548796873,111.53543159231646,384.76613741341004,0.0,3.375,467.91492578710967,151.33823952407627
467.6267518155869,111.46744030910372,384.6174403091037,0.1240512026236151,3.465,467.9140206812125,150.59107078246595
467.11237894262126,111.34595206154808,384.49595206154805,0.2838294519080581,3.555,467.9131065528076,149.98287214392968
466.6527310357692,111.23738469629205,384.38738469629203,0.38483410103954535,3.645,467.91219233962545,149.44106745982836
466.2564433323479,111.14377944317317,384.29377944317315,0.4518984925222636,3.735,467.91127836449664,148.97522307599732
465.8813351897752,111.05517404834012,384.2051740483401,0.5034374442086669,3.825,467.91036289810444,148.5353614419417
465.54798382766353,110.97642980931971,384.1264298093197,0.5419141619104829,3.915,467.9094473135324,148.14534953281486
465.22349890122734,110.89977789088408,384.04977789088406,0.5741908389592931,4.005,467.9085298000918,147.766509394244
464.9303314532462,110.83052220261737,383.98052220261735,0.5997818622267259,4.095,467.90761207804746,147.42490897550707
464.64038566875234,110.76202591028141,383.91202591028144,0.6223299339824984,4.185,467.9066922308592,147.08769291640107
464.37554670218634,110.69945936332601,383.849459363326,0.6408836278766502,4.275,467.90577213193745,146.78022404051444
464.11106285934096,110.63697533584099,383.78697533584096,0.6577430313864139,4.365,467.9048498054895,146.47368813693157
463.86751006743134,110.57943503180019,383.72943503180016,0.672000920666339,4.455,467.90439865373634,146.19187089439262
