T,P,alpha,z
98.08315915520569,181.0,0.0,0.0
99.09857754062932,178.62615140742423,0.0,0.2515
100.11371527110981,176.25412056599367,0.0,0.503
101.12856692339989,173.88391828331106,0.0,0.7545
102.14312701877373,171.51555531512028,0.0,1.006
103.15739002341832,169.14904236655838,0.0,1.2575
104.17135034871825,166.78439009338544,0.0,1.509
105.18500235165885,164.4216091031939,0.0,1.7605
106.19834033516838,162.06070995659695,0.0,2.012
107.21135854849837,159.701703168398,0.0,2.2635
108.22405118761407,157.34459920874136,0.0,2.515
109.23641239553996,154.9894085042447,0.0,2.7665
109.23623328687427,152.6342652528124,0.0,3.018
109.2360541776572,150.27912446014582,0.0,3.2695
109.23587506790204,147.92398612625865,0.0,3.521
109.23569595759852,145.56885025116446,0.0,3.7725
109.23551684675232,143.21371683487686,0.0,4.024
109.23533773535888,140.85858587740955,0.0,4.2755
109.09110995218975,139.05583148315415,0.24409611304733878,4.527
108.82176185885271,137.79555748797924,0.48308134624252463,4.7785
