T,P,alpha,z
121.68015487711153,498.0,0.0,0.0
124.53952992770473,495.6748208323296,0.0,0.2515
127.39544182472798,493.3555507573591,0.0,0.503
130.2477369691842,491.04226855383274,0.0,0.7545
133.0962587303963,488.735052466021,0.0,1.006
135.94084746523708,486.4339802601444,0.0,1.2575
138.78134052622124,484.1391292796019,0.0,1.509
141.61757225800847,481.8505764991521,0.0,1.7605
144.4493739821272,479.56839857818846,0.0,2.012
147.2765739696382,477.2926719132363,0.0,2.2635
149.92949083486684,475.2652553706087,0.11074448022630924,2.515
149.86412043651058,474.4327294910085,0.6934089876582391,2.7665
149.808461095829,473.7248004444689,0.6975160495299502,3.018
149.753424913627,473.02562993299625,0.7014809952882968,3.2695
149.6989904206016,472.3349168748056,0.7053118290705126,3.521
149.6451373298981,471.65237679269444,0.7090159388727703,3.7725
149.5918464480593,470.97774056285976,0.71260015614592,4.024
149.53909959440097,470.3107532821894,0.7160708084995342,4.2755
149.48687952785752,469.6511732406142,0.7194337664378029,4.527
149.43516988048867,468.99877098686443,0.7226944849083372,4.7785
