Temperature (C)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
67.000	0.27368	979.42	0.0010210	5.0527	5.0532	16.544	70.994	75.458	1553.9	-0.019682	420.72	0.65726	0.065013	0.17549	5.6984	44.408	47.217	140.50	26.825	35.659	453.77	10.848	11.092	0.021611
68.000	0.28599	978.86	0.0010216	5.1281	5.1287	16.766	70.901	75.467	1554.2	-0.019627	414.86	0.65809	0.064836	0.18288	5.4682	44.431	47.248	140.23	26.853	35.699	454.37	10.662	11.126	0.021694
69.000	0.29876	978.30	0.0010222	5.2036	5.2041	16.987	70.808	75.478	1554.4	-0.019572	409.13	0.65891	0.064659	0.19052	5.2488	44.454	47.279	139.96	26.881	35.740	454.97	10.480	11.160	0.021777
70.000	0.31201	977.73	0.0010228	5.2791	5.2796	17.207	70.714	75.488	1554.6	-0.019517	403.53	0.65972	0.064481	0.19843	5.0395	44.477	47.310	139.69	26.909	35.782	455.57	10.304	11.195	0.021860
71.000	0.32575	977.16	0.0010234	5.3546	5.3552	17.427	70.621	75.499	1554.8	-0.019462	398.06	0.66051	0.064302	0.20661	4.8400	44.500	47.341	139.42	26.938	35.825	456.16	10.132	11.229	0.021944
72.000	0.34000	976.58	0.0010240	5.4301	5.4307	17.646	70.527	75.510	1554.9	-0.019407	392.72	0.66129	0.064123	0.21507	4.6496	44.523	47.371	139.16	26.968	35.868	456.75	9.9654	11.263	0.022028
73.000	0.35478	976.00	0.0010246	5.5056	5.5062	17.864	70.433	75.521	1554.9	-0.019352	387.50	0.66205	0.063944	0.22382	4.4680	44.546	47.402	138.90	26.998	35.913	457.34	9.8032	11.298	0.022113
74.000	0.37009	975.41	0.0010252	5.5811	5.5818	18.082	70.339	75.532	1555.0	-0.019297	382.39	0.66280	0.063764	0.23285	4.2945	44.569	47.433	138.64	27.028	35.958	457.93	9.6452	11.332	0.022198
75.000	0.38595	974.81	0.0010258	5.6566	5.6573	18.299	70.244	75.544	1554.9	-0.019242	377.40	0.66353	0.063583	0.24219	4.1289	44.592	47.463	138.38	27.059	36.004	458.51	9.4915	11.367	0.022283
76.000	0.40239	974.22	0.0010265	5.7322	5.7329	18.516	70.150	75.556	1554.9	-0.019187	372.52	0.66424	0.063402	0.25184	3.9708	44.615	47.494	138.12	27.091	36.050	459.09	9.3419	11.401	0.022369
77.000	0.41941	973.61	0.0010271	5.8077	5.8085	18.732	70.056	75.569	1554.8	-0.019132	367.74	0.66495	0.063220	0.26180	3.8197	44.638	47.524	137.87	27.123	36.098	459.67	9.1962	11.435	0.022455
78.000	0.43703	973.00	0.0010277	5.8833	5.8841	18.948	69.961	75.581	1554.7	-0.019076	363.07	0.66563	0.063038	0.27209	3.6752	44.661	47.554	137.62	27.155	36.147	460.25	9.0542	11.470	0.022542
79.000	0.45527	972.39	0.0010284	5.9589	5.9597	19.162	69.867	75.594	1554.5	-0.019021	358.51	0.66631	0.062856	0.28271	3.5372	44.683	47.584	137.36	27.188	36.196	460.82	8.9160	11.504	0.022629
80.000	0.47414	971.77	0.0010291	6.0345	6.0353	19.377	69.772	75.608	1554.3	-0.018965	354.04	0.66697	0.062673	0.29367	3.4052	44.706	47.615	137.12	27.222	36.246	461.39	8.7812	11.539	0.022717
81.000	0.49367	971.14	0.0010297	6.1101	6.1110	19.591	69.677	75.621	1554.1	-0.018910	349.66	0.66761	0.062489	0.30498	3.2789	44.729	47.645	136.87	27.256	36.298	461.96	8.6499	11.573	0.022805
82.000	0.51387	970.51	0.0010304	6.1857	6.1866	19.804	69.583	75.635	1553.8	-0.018854	345.38	0.66824	0.062305	0.31665	3.1581	44.751	47.675	136.62	27.291	36.350	462.52	8.5219	11.608	0.022893
83.000	0.53476	969.88	0.0010311	6.2613	6.2623	20.017	69.488	75.650	1553.5	-0.018798	341.19	0.66885	0.062121	0.32868	3.0425	44.774	47.705	136.38	27.327	36.403	463.08	8.3970	11.643	0.022982
84.000	0.55635	969.24	0.0010317	6.3370	6.3380	20.229	69.393	75.664	1553.2	-0.018742	337.08	0.66946	0.061936	0.34109	2.9318	44.796	47.735	136.14	27.363	36.457	463.64	8.2752	11.677	0.023072
85.000	0.57867	968.59	0.0010324	6.4126	6.4137	20.440	69.299	75.679	1552.8	-0.018686	333.06	0.67004	0.061750	0.35388	2.8258	44.818	47.764	135.90	27.399	36.512	464.20	8.1564	11.712	0.023162
86.000	0.60173	967.94	0.0010331	6.4883	6.4894	20.651	69.204	75.695	1552.4	-0.018629	329.13	0.67062	0.061565	0.36706	2.7244	44.841	47.794	135.66	27.437	36.569	464.75	8.0404	11.746	0.023252
87.000	0.62556	967.29	0.0010338	6.5640	6.5652	20.862	69.109	75.710	1551.9	-0.018573	325.27	0.67118	0.061378	0.38064	2.6271	44.863	47.824	135.42	27.474	36.626	465.30	7.9272	11.781	0.023343
88.000	0.65017	966.63	0.0010345	6.6397	6.6409	21.072	69.015	75.726	1551.4	-0.018516	321.49	0.67172	0.061191	0.39464	2.5340	44.885	47.853	135.19	27.513	36.684	465.85	7.8167	11.816	0.023434
89.000	0.67558	965.96	0.0010352	6.7154	6.7167	21.281	68.920	75.742	1550.9	-0.018459	317.79	0.67225	0.061004	0.40905	2.4447	44.907	47.883	134.95	27.552	36.743	466.40	7.7088	11.850	0.023526
90.000	0.70182	965.30	0.0010360	6.7912	6.7925	21.490	68.826	75.759	1550.4	-0.018402	314.17	0.67277	0.060816	0.42390	2.3591	44.929	47.912	134.72	27.592	36.804	466.94	7.6034	11.885	0.023618
91.000	0.72890	964.62	0.0010367	6.8669	6.8683	21.698	68.731	75.776	1549.8	-0.018345	310.61	0.67328	0.060628	0.43918	2.2770	44.952	47.941	134.49	27.632	36.865	467.48	7.5004	11.920	0.023711
92.000	0.75684	963.94	0.0010374	6.9427	6.9441	21.906	68.637	75.794	1549.2	-0.018287	307.13	0.67377	0.060439	0.45491	2.1982	44.973	47.971	134.26	27.674	36.928	468.01	7.3998	11.954	0.023804
93.000	0.78568	963.26	0.0010381	7.0185	7.0199	22.113	68.542	75.811	1548.6	-0.018230	303.71	0.67424	0.060250	0.47111	2.1227	44.995	48.000	134.03	27.716	36.992	468.55	7.3015	11.989	0.023898
94.000	0.81541	962.57	0.0010389	7.0943	7.0958	22.320	68.448	75.830	1547.9	-0.018172	300.36	0.67471	0.060060	0.48777	2.0502	45.017	48.029	133.81	27.758	37.057	469.08	7.2053	12.024	0.023993
95.000	0.84608	961.88	0.0010396	7.1701	7.1717	22.526	68.354	75.848	1547.2	-0.018114	297.08	0.67516	0.059870	0.50491	1.9806	45.039	48.058	133.58	27.801	37.123	469.61	7.1113	12.059	0.024088
96.000	0.87771	961.18	0.0010404	7.2459	7.2476	22.732	68.260	75.867	1546.4	-0.018055	293.86	0.67559	0.059679	0.52254	1.9137	45.061	48.087	133.36	27.845	37.191	470.13	7.0193	12.093	0.024183
97.000	0.91030	960.48	0.0010411	7.3218	7.3235	22.937	68.166	75.886	1545.7	-0.017997	290.70	0.67602	0.059488	0.54067	1.8496	45.082	48.115	133.14	27.890	37.259	470.65	6.9293	12.128	0.024279
98.000	0.94390	959.78	0.0010419	7.3977	7.3994	23.142	68.072	75.906	1544.9	-0.017938	287.60	0.67643	0.059296	0.55931	1.7879	45.104	48.144	132.92	27.936	37.329	471.17	6.8413	12.163	0.024375
99.000	0.97852	959.06	0.0010427	7.4736	7.4754	23.346	67.978	75.926	1544.0	-0.017879	284.56	0.67683	0.059104	0.57847	1.7287	45.125	48.173	132.70	27.982	37.400	471.68	6.7551	12.197	0.024473
