T,P,alpha,z
123.4198343080896,334.5646670925959,-1.834066374977956e-20,-0.15
124.81345615958816,331.4353329074041,-1.8510278374032865e-20,0.15
126.20617340387497,328.76072738754175,-1.8168691713734616e-20,0.45
127.59811532387022,325.6321006986719,-1.6036859708837365e-20,0.75
128.9891176986855,322.95819221879816,-1.655952545401238e-20,1.05
130.37930768692144,319.8302521980457,-2.846382306409353e-20,1.35
131.76852251664275,317.1570203676308,-8.517976368169424e-21,1.65
133.15688718921,314.0297470529586,8.618080156722453e-18,1.95
134.54422337464996,311.3639517043854,0.002342038042563513,2.25
134.52951805231584,308.96677928175313,0.2537421889932941,2.55
134.29667150326242,306.87458448616337,0.4055807485359383,2.85
134.09913762110006,305.1086863437873,0.5069787874899156,3.15
133.91081643887594,303.43281381806344,0.5794845454442911,3.45
133.74404732609588,301.9549612941874,0.6337910136683205,3.75
133.5776162286022,300.4859185571333,0.6760475166715608,4.05
133.42656941957517,299.15768258284555,0.7097767900421663,4.35
