T,P,alpha,z
156.65180543581357,750.2049943922144,-1.2197959288125378e-18,-0.0225
156.84530662585422,749.7950056077856,-1.2204194539951379e-18,0.0225
157.03878520501422,749.3631402769137,-1.2210950652466405e-18,0.0675
157.23223510425106,748.9531621682212,-1.2217199264986429e-18,0.1125
157.42566226220225,748.5213074931019,-1.2223969775054468e-18,0.1575
157.61906062492312,748.1113400210796,-1.223023179088959e-18,0.2025
157.81243611561388,747.6794959627562,-1.2237016905809083e-18,0.2475
158.00578269547987,747.2695390885563,-1.2243292370214005e-18,0.2925
158.1991062722396,746.8377056082901,-1.2250092064227379e-18,0.3375
158.3924008222873,746.427759293281,-1.2256381021522585e-18,0.3825
158.58567223781603,745.995936352549,-1.2428701889966058e-18,0.4275
158.77891451046645,745.5860005583149,-1.2627866486021541e-18,0.4725
158.97213351683968,745.154188118809,-1.3014169172578688e-18,0.5175
159.16532326387716,744.7442628071483,-1.2979427521753303e-18,0.5625
159.3584896125427,744.3124608307738,-1.2649470638599854e-18,0.6075
159.5516265851267,743.9025459636973,-1.2986551527614963e-18,0.6525
159.74474002689777,743.470754412572,-1.2899235314729136e-18,0.6975
159.93782397554372,743.0608499523026,-1.2718005966387275e-18,0.7425
160.13088426059932,742.6290687887548,-1.3072750112502603e-18,0.7875
160.3239149352022,742.2191746977253,-1.3720379180249752e-18,0.8325
160.5169218130822,741.7874038842932,-1.3111920816262486e-18,0.8775
160.70989896288336,741.3775201251456,-1.3052898432258025e-18,0.9225
160.90285218248738,740.9457596245757,-1.3384835682510536e-18,0.9675
161.09577555609326,740.5358861601596,-1.3594190540428429e-18,1.0125
161.2886748656756,740.1041359354056,-1.3967585926987256e-18,1.0575
161.48154421104636,739.6942727287774,-1.4161318267476096e-18,1.1025
161.67438935821946,739.2625327429989,-1.3585100389526163e-18,1.1475
161.86720442266846,738.8526797574201,-1.33752226609146e-18,1.1925
162.05999515439112,738.4209499739812,-1.4046668749098662e-18,1.2375
162.25275568458216,738.0111071729176,-1.3808540121060284e-18,1.2825
162.44549174715786,737.5793875553861,-1.3235994784937141e-18,1.3275
162.63819748909174,737.169554902506,-1.3065887143219114e-18,1.3725
162.83087862817803,736.737845414652,-1.3234735325797957e-18,1.4175
163.02352932721033,736.3280228738254,-1.3499550654555011e-18,1.4625
163.2161552877941,735.8963234796199,-1.3084234169757532e-18,1.5075
163.40875068861004,735.4865110149176,-1.2381181851558357e-18,1.5525
163.60132121502767,735.0548216785315,-1.188241325547141e-18,1.5975
163.79386106165236,734.6450192542235,-1.1905929894199478e-18,1.6425
163.98637589756464,734.2133399400265,-1.2014012049762324e-18,1.6875
164.17885993336182,733.8035475205805,-1.2071652454660986e-18,1.7325
164.3713188217667,733.3718781931398,-1.2138220378216623e-18,1.7775
164.56374678942478,732.9620957432211,-1.2205183316568594e-18,1.8225
164.75614947264734,732.5304363673,-1.1843045590630753e-18,1.8675
164.94852111418083,732.1206638517696,-7.691918481075858e-19,1.9125
165.1408673338691,731.6890143923268,4.4156248412765004e-17,1.9575
165.33318239061765,731.2792517762398,4.281002698641761e-15,2.0025
165.52547188774355,730.8476121984287,4.1438239387437074e-13,2.0475
165.71773010036839,730.43785944705,3.908910839794464e-11,2.0925
165.90996261521792,730.0062297177276,3.781521085075568e-9,2.1375
166.10216372358917,729.5964869388584,3.5661210590467087e-7,2.1825
166.29433898567646,729.1648807859654,3.443475089417199e-5,2.2275
166.4864819069124,728.7562666742099,0.0028232082457511536,2.2725
166.55273650725593,728.3289137363671,0.02250770634076931,2.3175
166.52908317772,727.9053287536713,0.042734242047956957,2.3625
166.5059906903295,727.4919759499087,0.06217733676073333,2.4075
166.48319396269642,727.0840999156062,0.08086828336867596,2.4525
166.46092403495112,726.68582454333,0.09884892125930662,2.4975
166.43891679827794,726.2924172129394,0.11615898648616696,2.5425
166.41740508304338,725.9080313071404,0.13283437976758475,2.5875
166.39612598908639,725.5279608674196,0.1489096045010286,2.6325
166.37531379943727,725.1563826671269,0.16441549173661107,2.6775
166.35470689787087,724.788618450703,0.1793821769464218,2.7225
166.33454098157978,724.4288676446927,0.19383624277471814,2.7675
166.31455576660875,724.0724802789027,0.20780415612401254,2.8125
166.29495783330407,723.7231342576787,0.22130904041510857,2.8575
166.27552108527317,723.3767935898568,0.23437414066200804,2.9025
166.2564529648273,723.0371492657283,0.24701955470693918,2.9475
166.2375283453984,722.7001861423223,0.25926588178043797,2.9925
166.21895536968856,722.3696054070555,0.27113064424003636,3.0375
166.20050982732124,722.0414116411561,0.2826321827169209,3.0825
